Volume_pre,Volume_post,Distance,reassigned_label,raw_label_t,raw_label_t+1,y_coor,x_coor,isFusion,Frame,Label
11.190000000000005,2.140000000000001,8.072844023741883,1.0,1.0,5.0,312.124218051832,386.0786416443253,True,0,1
11.190000000000005,13.660000000000002,8.072844023741883,1.0,1.0,6.0,312.124218051832,386.0786416443253,True,0,1
9.730000000000002,9.140000000000002,8.072844023741883,2.0,2.0,7.0,347.8293936279548,271.42034943473794,True,0,1
10.480000000000002,4.510000000000001,53.552085899401305,3.0,3.0,8.0,413.36545801526717,336.2814885496183,True,0,1
2.1500000000000004,2.140000000000001,53.60322506159718,1.0,10.0,5.0,249.2186046511628,393.1441860465116,True,1,1
5.460000000000001,13.660000000000002,53.60322506159718,1.0,11.0,6.0,303.9047619047619,382.9047619047619,True,1,1
3.7600000000000007,9.140000000000002,13.14095914521597,2.0,13.0,7.0,391.1329787234043,276.13031914893617,True,1,1
5.260000000000001,9.140000000000002,13.14095914521597,2.0,12.0,7.0,313.8916349809886,267.2585551330798,True,1,1
12.450000000000005,4.510000000000001,13.14095914521597,3.0,14.0,8.0,407.52369477911645,347.918875502008,True,1,1
2.1500000000000004,2.0800000000000005,53.60322506159718,1.0,10.0,16.0,249.2186046511628,393.1441860465116,True,2,1
5.460000000000001,5.6400000000000015,53.60322506159718,1.0,11.0,17.0,303.9047619047619,382.9047619047619,True,2,1
3.7600000000000007,5.320000000000001,13.14095914521597,2.0,13.0,18.0,391.1329787234043,276.13031914893617,True,2,1
5.260000000000001,5.320000000000001,13.14095914521597,2.0,12.0,18.0,313.8916349809886,267.2585551330798,True,2,1
12.450000000000005,8.670000000000002,13.14095914521597,3.0,14.0,19.0,407.52369477911645,347.918875502008,True,2,1
12.450000000000005,7.910000000000002,13.14095914521597,3.0,14.0,20.0,407.52369477911645,347.918875502008,True,2,1
2.0800000000000005,2.3200000000000003,41.8712264939422,1.0,16.0,24.0,248.96153846153845,393.3942307692308,True,3,1
5.6400000000000015,6.050000000000002,41.8712264939422,1.0,17.0,25.0,304.0549645390071,383.3262411347518,True,3,1
5.6400000000000015,5.090000000000001,41.8712264939422,1.0,17.0,28.0,304.0549645390071,383.3262411347518,True,3,1
5.320000000000001,5.490000000000001,4.844026166015363,2.0,18.0,26.0,313.5375939849624,266.6033834586466,True,3,1
7.910000000000002,2.9000000000000004,4.844026166015363,3.0,20.0,29.0,395.0998735777497,353.0,True,3,1
8.670000000000002,9.070000000000002,4.844026166015363,3.0,19.0,27.0,413.2768166089965,306.7012687427912,True,3,1
2.1600000000000006,2.3200000000000003,42.48434864779117,1.0,34.0,24.0,249.29166666666666,393.0046296296296,True,4,1
5.500000000000001,6.050000000000002,42.48434864779117,1.0,35.0,25.0,304.0272727272727,382.8454545454546,True,4,1
5.500000000000001,5.090000000000001,42.48434864779117,1.0,35.0,28.0,304.0272727272727,382.8454545454546,True,4,1
5.240000000000001,5.490000000000001,18.301535509050215,2.0,36.0,26.0,314.3358778625954,267.35305343511453,True,4,1
8.090000000000002,2.9000000000000004,18.301535509050215,3.0,38.0,29.0,394.6786155747837,353.23485784919654,True,4,1
12.300000000000002,9.070000000000002,18.301535509050215,3.0,37.0,27.0,430.02682926829266,316.47317073170734,True,4,1
2.1600000000000006,2.3300000000000005,42.48434864779117,1.0,34.0,42.0,249.29166666666666,393.0046296296296,True,5,1
5.500000000000001,5.880000000000001,42.48434864779117,1.0,35.0,43.0,304.0272727272727,382.8454545454546,True,5,1
5.240000000000001,5.500000000000001,18.301535509050215,2.0,36.0,44.0,314.3358778625954,267.35305343511453,True,5,1
8.090000000000002,8.310000000000002,18.301535509050215,3.0,38.0,46.0,394.6786155747837,353.23485784919654,True,5,1
12.300000000000002,12.610000000000005,18.301535509050215,3.0,37.0,45.0,430.02682926829266,316.47317073170734,True,5,1
2.3300000000000005,2.2700000000000005,41.3120971205644,1.0,42.0,50.0,249.5107296137339,393.07296137339057,True,6,1
5.880000000000001,5.750000000000001,41.3120971205644,1.0,43.0,51.0,304.3350340136054,383.1241496598639,True,6,1
5.880000000000001,4.830000000000001,41.3120971205644,1.0,43.0,54.0,304.3350340136054,383.1241496598639,True,6,1
5.500000000000001,5.540000000000001,19.436483676686105,2.0,44.0,52.0,315.0,267.43454545454546,True,6,1
5.500000000000001,2.7300000000000004,19.436483676686105,2.0,44.0,53.0,315.0,267.43454545454546,True,6,1
8.310000000000002,12.980000000000002,19.436483676686105,3.0,46.0,55.0,394.76293622142,352.7135980746089,True,6,1
12.610000000000005,12.980000000000002,19.436483676686105,3.0,45.0,55.0,430.6677240285488,317.2442505947661,True,6,1
2.2700000000000005,2.2700000000000005,35.91465953888459,1.0,50.0,59.0,249.33480176211455,393.23348017621146,True,7,1
4.830000000000001,4.700000000000001,35.91465953888459,1.0,54.0,63.0,389.1407867494824,379.7391304347826,True,7,1
5.750000000000001,5.920000000000001,35.91465953888459,1.0,51.0,60.0,304.4765217391304,383.0313043478261,True,7,1
2.7300000000000004,5.4300000000000015,12.71732998174465,2.0,53.0,61.0,380.1098901098901,274.75091575091574,True,7,1
5.540000000000001,5.4300000000000015,12.71732998174465,2.0,52.0,61.0,314.68050541516243,267.43682310469313,True,7,1
12.980000000000002,9.670000000000002,12.71732998174465,3.0,55.0,62.0,433.97919876733437,326.1949152542373,True,7,1
2.2700000000000005,2.28,45.909390512870345,1.0,59.0,68.0,249.36563876651982,393.58590308370043,True,8,1
4.700000000000001,10.820000000000002,45.909390512870345,1.0,63.0,69.0,388.90425531914894,379.52978723404254,True,8,1
