Volume_pre,Volume_post,Distance,Nearest_Label,y_corr,x_corr,Volume_diff,isFusion,Frame,Label
0.0,0.0,0.0,0.0,386.0786416443253,312.124218051832,4.609999999999998,1.0,0.0,1.0
12.450000000000005,4.510000000000001,13.14095914521597,3.0,347.918875502008,407.52369477911645,-8.190000000000001,0.0,2.0,1.0
0.0,0.0,0.0,0.0,393.3942307692308,248.96153846153845,5.739999999999998,1.0,3.0,1.0
0.0,0.0,0.0,0.0,383.3262411347518,304.0549645390071,5.739999999999998,1.0,3.0,1.0
0.0,0.0,0.0,0.0,393.0046296296296,249.29166666666666,-5.799999999999999,0.0,5.0,1.0
0.0,0.0,0.0,0.0,382.8454545454546,304.0272727272727,-5.799999999999999,0.0,5.0,1.0
0.0,0.0,0.0,0.0,393.07296137339057,249.5107296137339,4.640000000000001,1.0,6.0,1.0
0.0,0.0,0.0,0.0,383.1241496598639,304.3350340136054,4.640000000000001,1.0,6.0,1.0
0.0,0.0,0.0,0.0,395.56375838926175,241.28859060402684,-11.720000000000004,0.0,13.0,1.0
0.0,0.0,0.0,0.0,395.56375838926175,241.28859060402684,16.340000000000003,1.0,13.0,1.0
1.4100000000000004,1.3300000000000003,6.497263261938288,2.0,253.82269503546098,297.92907801418437,-6.18,0.0,15.0,1.0
3.650000000000001,3.620000000000001,6.497263261938288,2.0,271.64109589041095,321.15616438356165,-6.18,0.0,15.0,1.0
8.010000000000002,6.1800000000000015,11.095203862221085,3.0,359.73283395755305,412.8876404494382,-3.7600000000000007,0.0,16.0,1.0
8.160000000000002,1.4100000000000004,11.095203862221085,2.0,268.22549019607845,333.9595588235294,-3.7600000000000007,0.0,16.0,1.0
8.160000000000002,3.650000000000001,11.095203862221085,2.0,268.22549019607845,333.9595588235294,-3.7600000000000007,0.0,16.0,1.0
8.160000000000002,2.2300000000000004,11.095203862221085,2.0,268.22549019607845,333.9595588235294,-3.7600000000000007,0.0,16.0,1.0
14.710000000000004,8.180000000000001,6.163146817837866,3.0,341.29911624745074,409.2984364377974,-0.2599999999999998,0.0,19.0,1.0
14.710000000000004,6.590000000000002,6.163146817837866,3.0,341.29911624745074,409.2984364377974,-0.2599999999999998,0.0,19.0,1.0
4.48,4.680000000000001,11.044629996858522,2.0,266.90384615384613,309.6666666666667,0.33000000000000007,1.0,20.0,1.0
0.0,0.0,0.0,0.0,395.5655172413793,241.66206896551725,4.9,1.0,22.0,1.0
0.0,0.0,0.0,0.0,385.24889543446244,299.7275405007364,4.9,1.0,22.0,1.0
0.0,0.0,0.0,0.0,359.30534351145036,281.1832061068702,-0.4200000000000017,0.0,26.0,1.0
0.0,0.0,0.0,0.0,392.96934865900386,325.62452107279694,-0.4200000000000017,0.0,26.0,1.0
0.0,0.0,0.0,0.0,392.52830188679246,264.2129380053908,-0.4200000000000017,0.0,26.0,1.0
0.0,0.0,0.0,0.0,378.9550561797753,395.0299625468165,-0.4200000000000017,0.0,26.0,1.0
0.0,0.0,0.0,0.0,359.30534351145036,281.1832061068702,0.4700000000000024,1.0,26.0,1.0
0.0,0.0,0.0,0.0,392.96934865900386,325.62452107279694,0.4700000000000024,1.0,26.0,1.0
0.0,0.0,0.0,0.0,392.52830188679246,264.2129380053908,0.4700000000000024,1.0,26.0,1.0
0.0,0.0,0.0,0.0,378.9550561797753,395.0299625468165,0.4700000000000024,1.0,26.0,1.0
0.0,0.0,0.0,0.0,392.83141762452107,324.9961685823755,0.7299999999999986,1.0,27.0,1.0
0.0,0.0,0.0,0.0,379.0,395.3069679849341,0.7299999999999986,1.0,27.0,1.0
0.0,0.0,0.0,0.0,383.06159420289856,270.28985507246375,0.7299999999999986,1.0,27.0,1.0
0.0,0.0,0.0,0.0,383.38310412573674,269.60117878192534,0.33999999999999986,1.0,29.0,1.0
0.0,0.0,0.0,0.0,383.8491484184915,371.43917274939173,0.33999999999999986,1.0,29.0,1.0
7.350000000000001,5.480000000000001,24.85719266609213,1.0,385.5768707482993,281.9387755102041,-1.7599999999999998,0.0,31.0,1.0
5.050000000000001,3.980000000000001,3.512216293974138,3.0,345.970297029703,440.6039603960396,-1.7599999999999998,0.0,31.0,1.0
0.0,0.0,0.0,0.0,388.8369565217391,358.9619565217391,-2.200000000000001,0.0,32.0,1.0
0.0,0.0,0.0,0.0,385.5515923566879,281.85350318471336,-2.200000000000001,0.0,32.0,1.0
0.0,0.0,0.0,0.0,392.3125,319.9513888888889,-0.3200000000000003,0.0,33.0,1.0
0.0,0.0,0.0,0.0,389.10869565217394,358.7554347826087,-0.3200000000000003,0.0,33.0,1.0
0.0,0.0,0.0,0.0,384.2758620689655,272.11494252873564,-0.3200000000000003,0.0,33.0,1.0
0.0,0.0,0.0,0.0,392.3125,319.9513888888889,0.5600000000000023,1.0,33.0,1.0
0.0,0.0,0.0,0.0,389.10869565217394,358.7554347826087,0.5600000000000023,1.0,33.0,1.0
0.0,0.0,0.0,0.0,384.2758620689655,272.11494252873564,0.5600000000000023,1.0,33.0,1.0
0.9500000000000002,0.91,9.358424149439378,2.0,267.90526315789475,347.3157894736842,-0.5000000000000018,0.0,36.0,1.0
1.7000000000000004,1.7500000000000004,5.1389056731522444,3.0,334.98285714285714,389.5942857142857,0.41000000000000014,1.0,37.0,1.0
1.3300000000000003,8.140000000000002,5.1389056731522444,3.0,323.15233415233416,436.03931203931205,0.41000000000000014,1.0,37.0,1.0
8.820000000000002,3.4700000000000006,3.8747621866273785,3.0,357.00566893424036,425.04761904761904,-0.5399999999999991,0.0,39.0,1.0
