label_num,area,raw_label
361,218.12420340641455,361
243,208.60783392269974,355
232,207.56033494684056,409
224,205.43676884123508,407
175,267.2042917843994,290
174,239.15988738525982,307
194,211.62018703812512,384
192,209.8362645398437,379
167,232.34796980285424,267
184,199.18986585792928,387
182,198.76451778894403,386
164,219.01933889487606,300
175,205.8906850641074,379
169,212.81052678341968,407
174,215.499107488125,379
178,198.16458655731554,435
176,208.61418240134134,377
181,199.91994090170994,407
167,206.48426781709426,381
172,209.56962843689774,399
179,206.64297978313354,399
166,206.56044956079313,381
171,205.60500352523673,394
168,189.2481483052292,379
173,212.22011826975358,398
165,203.8306037449176,349
160,205.1479130630436,409
162,216.14982654888598,387
161,197.3519812911945,394
166,188.52759597941093,417
154,195.8442176138214,396
143,211.2392783196309,366
151,201.1737654334202,420
150,197.8979504543696,409
143,207.9666375799011,384
161,190.0194884601801,399
153,191.9811683604255,399
148,193.9904618504827,393
151,191.30505538509817,408
144,187.34043047343715,402
148,180.02698307834746,401
141,197.42816303489337,406
143,185.56920493243885,416
136,191.20347972683305,394
130,194.77767320203748,377
144,182.95680597143246,401
144,192.21923630948442,414
149,176.82100136435415,406
144,178.06212893878126,416
131,177.06541779205463,391
140,171.10737058694028,429
126,175.15769996026256,404
130,178.1160910072346,404
129,174.929154729166,378
128,191.2383963593617,429
134,181.21414858432124,431
133,181.05543661828193,431
139,182.11563255142426,405
134,177.92563664798746,423
132,171.90727889577823,430
129,176.3226457909908,387
137,165.68259558771794,418
132,171.62477159622833,401
128,170.68202251795503,408
127,179.68416523170262,407
130,171.40892332241492,386
131,169.99956106398616,402
128,187.12458219962372,390
129,177.96372751983688,396
131,187.74990734581849,434
121,184.8105617347711,360
135,169.2504405842808,401
126,171.40257484377335,394
132,173.19284582069633,394
134,162.89561346406833,411
126,168.98063024201406,383
130,165.24772480077033,395
128,171.3200446214329,433
128,152.67138861181834,394
134,154.46800806738293,414
131,153.44590300608996,426
129,168.08232051423175,399
130,168.3997444463103,428
125,165.28898991194052,422
128,155.61708270150723,417
126,172.3516724006882,412
121,167.0252988204102,408
124,167.3712909063758,390
127,153.32210767257936,419
125,157.25181595171176,450
130,148.63693043510003,415
123,149.74473995805414,429
129,156.18527153992784,430
126,141.21873314242438,413
125,139.996651003922,417
124,155.77262042822574,428
123,142.14878526341454,414
122,132.08327237720383,424
121,140.56801408166336,425
117,137.06365387151624,376
122,139.98077980731807,432
119,145.72297873861896,454
125,148.95752860649935,442
123,140.7299002870234,460
125,142.75189073436377,441
126,136.9842978884966,430
119,137.26045670940493,428
124,134.17827032892225,416
129,134.78137579987148,456
120,132.47370381366045,419
121,131.6293561543315,444
120,125.82049819729411,441
115,132.2610297791678,405
119,131.75632572716293,454
115,130.75644034111554,428
110,130.16603182744942,399
113,134.803595475117,411
110,131.27384135040353,422
112,134.7305879707389,449
113,136.03837457090253,437
112,131.8261589922202,407
110,130.28347868231847,395
114,131.3309776581777,419
109,129.7533807157473,419
109,128.42020020101742,412
117,133.67039203759657,437
115,133.60373301186007,479
116,132.4832265316228,492
110,134.5972699192659,458
108,133.10537743849676,425
106,131.4103336411973,443
114,125.47768035064928,422
109,128.76619228698303,437
110,129.37247199725306,436
108,128.86459370592738,453
108,126.59183835224499,386
108,127.7504357043317,441
