label_num,area,raw_label
280,237.94732796471976,280
146,233.67162759962173,284
132,234.7223008148017,304
119,229.2848288582962,277
123,232.24956838390983,312
118,228.32938282273983,317
103,233.04312821410622,260
102,230.71006231332893,282
93,226.13280921275629,266
92,227.86911812122594,262
88,228.37382217323082,258
95,226.52006640989208,245
82,223.71086461099696,273
84,221.64126057384487,265
73,216.844984960138,239
79,220.41917843534242,283
81,217.29572694368954,263
83,225.49161286995763,314
88,218.91141475796937,313
81,224.88533315968758,309
87,225.90426398165974,307
77,218.4003622273229,285
69,216.09586448043265,285
71,216.81959104557174,266
68,219.79067904982696,273
71,216.22918253190568,283
72,210.58855925886988,287
75,212.43914078288782,283
68,210.10290064278973,264
69,208.27453879401727,306
66,211.35989941382073,296
68,223.80291755129974,308
63,219.54308838280565,277
61,210.84884688317428,270
60,215.70860728329683,287
60,208.89034122224965,267
65,210.44254425011374,276
61,212.78195862953262,289
54,212.23916370567832,245
59,203.38303600068687,258
61,212.83592069798596,266
70,216.52756102805947,277
61,224.9519921854241,263
64,216.83546224217565,277
60,215.28960769295315,288
61,219.59070197261744,286
60,220.15889081103802,254
58,221.25400337670902,259
61,224.09177332949122,286
55,226.18359704188882,279
56,224.02828854307552,248
54,223.93940984209354,294
57,220.86992041889397,259
56,216.94338637908237,261
53,218.25117297924595,266
53,222.86969119098882,267
58,220.77469323927045,304
58,220.46361778583343,298
54,220.12079993918863,266
61,222.16818430109524,264
57,220.6731175810053,279
57,225.00595425387746,250
58,214.52779025596465,271
58,226.18994552053044,249
60,233.02090853886074,298
55,230.75132742449912,278
57,230.9576529803502,255
56,229.91015400449098,286
55,232.9859919063321,282
57,232.36384099945812,277
53,234.7730886439343,294
55,224.15843235522772,299
52,227.71675463382823,279
55,230.57991850117673,294
50,224.56156074896748,260
55,226.9962023080099,259
53,223.8600538590739,271
52,219.4954747929939,275
56,225.56462037433568,292
52,225.0662648009724,295
59,232.4178030679115,300
51,233.58274889863975,290
47,228.84360959270708,288
50,239.46144012073444,317
50,230.63705480895084,284
47,235.03020202891793,276
48,232.62730286308334,286
49,229.80857834622583,303
48,239.41382653092262,291
41,238.09969145211747,285
46,234.99845963571005,304
47,229.78318443165955,297
49,243.50224677609432,285
45,239.60110665084898,267
51,248.21281792813994,271
45,250.0602252128371,288
49,252.64723025927722,301
46,243.4387619896786,280
44,244.74654858984223,285
48,234.3540890535906,284
44,237.62038131467887,267
47,237.766396323435,304
48,240.15342429266565,309
48,238.57900158955607,284
46,241.569135029736,302
49,232.58286351259233,322
48,238.0996914521175,275
51,238.73136507695375,308
51,231.6496371522814,313
42,235.20795943088194,267
44,231.26872843378717,284
44,221.0191096669709,304
45,222.6982822676664,294
47,224.0124173464716,286
45,245.105237633091,321
48,245.01953317142977,297
46,240.55337844708464,293
46,246.87328893476848,302
50,243.226087955186,309
47,239.74394742028434,301
49,240.59781779757563,297
46,236.9347456213892,281
44,240.14072733538254,289
45,242.4579220395559,305
48,234.2556876346463,274
38,243.0292851172973,307
43,237.10615454471161,281
42,234.9508460458983,291
43,241.74371819237922,299
46,236.65541256116006,296
41,230.4212065351374,307
46,237.02679856169198,310
45,232.84632537621752,330
42,232.3701894780997,305
44,232.33209860625033,291
47,225.96140028943387,316
42,237.2680407500717,301
44,232.29083349508008,261
46,235.11908072989993,295
43,230.67197144147949,311
