label_num,area,raw_label
251,259.41153425187105,251
156,262.9349398979429,294
144,266.1028307400868,302
120,266.61388327073325,249
103,271.6164844402912,255
116,269.3786457191374,294
95,264.8744001229428,260
104,261.51288068223107,268
97,259.98607156893326,268
100,269.8357361813305,281
98,259.2179056533031,268
94,267.061451014964,272
84,264.915665234113,257
69,156.48682427540245,234
78,261.646198733704,256
63,154.84891678587718,261
69,264.43635509667445,242
70,263.83007538640436,266
63,156.64871048076253,240
70,263.57296200142076,244
73,268.4485935981472,309
63,268.7660175302258,274
65,261.48748676766473,235
68,265.29022547396573,282
65,263.48090906111804,272
63,263.9126056087448,294
58,254.18038785121666,255
67,263.8205526684421,286
56,256.4785371194653,262
62,255.95796187085648,259
65,257.13560465886786,263
63,262.1572512643505,276
63,254.98347039937534,273
64,248.71117350150328,269
66,264.4680974898823,289
65,258.4370427803899,285
66,254.15499393665033,303
74,260.5193437748252,304
68,258.13231580559454,274
66,264.95693034528324,320
64,259.9321095004799,294
63,257.9355129677058,288
63,252.03460207036562,265
68,252.59644243014466,275
64,252.90116940494005,266
58,250.46652784589764,255
56,253.29477508071747,236
62,253.32334323460452,267
62,255.44373510088926,267
63,262.1477285463882,299
70,260.21461680002983,277
57,255.46912901545554,235
67,258.6179744216747,288
64,261.23354762200194,280
65,253.58997933755055,282
62,258.65923953284494,310
60,256.6689914787124,265
63,254.17721361189587,259
60,250.68237611971102,287
59,254.80888723673212,266
62,252.90116940494005,282
66,250.02848281962926,271
66,259.9733746116501,309
65,259.68134459413784,282
65,259.51310991013617,325
67,262.046152888123,308
63,254.98029616005456,253
60,246.5209483701613,261
59,252.12348077134757,263
60,255.9992269820267,264
61,250.2506795720842,260
55,249.56504387879457,237
58,257.27844542830326,326
57,251.777488685382,282
55,245.5655023346049,294
53,244.9338287097686,271
57,249.19365787826266,294
56,249.14921852777167,297
57,247.83825768828729,268
53,243.12451229692084,263
53,251.47911018922818,287
50,248.91432481803358,266
56,247.96205302179789,285
52,244.88304088063603,271
54,249.17461244233795,271
51,245.97497920698618,279
47,243.63239058824655,248
48,247.36529602949022,258
47,252.5361318830498,277
47,250.7522093847683,263
51,247.8731743208159,270
49,250.94583798333625,264
53,247.05422057605324,298
48,244.09265528976042,251
49,241.08030217433503,249
50,245.48297211226446,259
49,242.88327010854118,255
49,244.1624885548177,255
47,246.1908274807996,274
49,242.9753230488439,266
51,244.04821593926943,287
51,241.2866277301861,256
54,242.4325281249896,262
55,242.30873279147897,281
46,241.96908918415494,256
49,230.8306834075188,290
59,246.26383498517768,332
53,244.63227597429392,262
55,237.80448719528442,272
47,245.55280537732173,253
52,249.45394550256708,267
53,246.57491043861464,288
50,246.4542893444248,277
55,242.5499749798587,304
52,248.75878709131504,278
51,246.4257211905377,319
53,247.5874927819452,308
47,248.12711346647876,284
45,241.22949142241194,254
49,249.39680919479295,286
52,246.2162213953659,306
53,236.43956428734668,303
52,246.3241455322726,291
56,252.5647000369368,310
50,241.87068776521062,266
48,246.44159238714167,285
52,240.0804167882876,287
50,243.67682993873754,274
55,245.67660071083236,292
53,249.0920822199975,282
49,249.86659661426918,280
50,250.3490809910286,273
53,246.08290334389295,261
60,248.38422685146236,312
55,248.9016278607504,300
52,243.72126928922853,293
56,248.75561285199421,292
53,236.4713066805545,269
48,230.64975176623398,266
53,238.25205493951518,307
