Volume_pre,Volume_post,Distance,Nearest Label,Volume_diff,isFusion,Frame,Label
1.6400000000000003,1.6100000000000003,63.561907434720965,2.0,0.6100000000000003,1.0,7.0,1.0
2.3100000000000005,2.2500000000000004,55.879368240043576,7.0,0.6100000000000003,1.0,7.0,1.0
2.5200000000000005,2.3300000000000005,26.391524214992344,3.0,0.6100000000000003,1.0,7.0,1.0
2.3300000000000005,2.6800000000000006,27.405031800536488,3.0,-0.6900000000000004,0.0,9.0,1.0
1.6000000000000003,1.5200000000000002,62.94848402165853,2.0,0.6000000000000005,1.0,9.0,1.0
2.6800000000000006,2.3400000000000003,27.405031800536488,3.0,0.6000000000000005,1.0,9.0,1.0
1.3600000000000003,1.3800000000000003,53.91688664812267,2.0,-1.3200000000000003,0.0,28.0,1.0
1.3800000000000003,1.2700000000000002,53.91688664812267,2.0,2.5500000000000007,1.0,28.0,1.0
12.880000000000003,10.98,59.42899331791252,5.0,2.5500000000000007,1.0,28.0,1.0
10.980000000000004,11.380000000000003,40.907155581606695,5.0,-0.3000000000000007,0.0,31.0,1.0
11.380000000000003,11.38,40.907155581606695,5.0,0.8900000000000006,1.0,31.0,1.0
2.410000000000001,2.7600000000000007,21.25126051094211,3.0,-0.5099999999999998,0.0,35.0,1.0
2.7800000000000007,2.4500000000000006,20.188012111929588,3.0,0.41000000000000103,1.0,37.0,1.0
2.4500000000000006,2.3300000000000005,19.389920394660926,3.0,0.5399999999999991,1.0,38.0,1.0
2.3300000000000005,2.4600000000000004,22.848804845635794,3.0,-0.35000000000000053,0.0,40.0,1.0
11.46,11.660000000000002,50.11696271313779,5.0,-0.35000000000000053,0.0,40.0,1.0
2.2900000000000005,2.3400000000000003,19.53739687223478,7.0,-1.3600000000000012,0.0,2.0,5.0
2.3400000000000003,2.2500000000000004,19.53739687223478,7.0,0.9000000000000039,1.0,2.0,5.0
14.130000000000003,13.970000000000002,36.615206104566326,10.0,0.9000000000000039,1.0,2.0,5.0
2.4900000000000007,2.6500000000000004,52.31348900690405,3.0,-0.5200000000000031,0.0,4.0,5.0
7.550000000000002,7.670000000000002,52.81169309404048,1.0,-0.5200000000000031,0.0,4.0,5.0
2.2700000000000005,2.2200000000000006,20.072801670907822,7.0,8.279999999999994,1.0,5.0,5.0
2.7100000000000004,2.3600000000000003,52.14831300176867,3.0,8.279999999999994,1.0,5.0,5.0
7.6400000000000015,0.0,53.20696444532562,1.0,8.279999999999994,1.0,5.0,5.0
2.2200000000000006,2.3100000000000005,23.443990232536663,7.0,-7.959999999999999,0.0,7.0,5.0
2.3600000000000003,2.5200000000000005,51.42266356547768,3.0,-7.959999999999999,0.0,7.0,5.0
0.0,7.110000000000001,33.61725294658671,1.0,-7.959999999999999,0.0,7.0,5.0
7.630000000000002,7.570000000000001,52.36009699922198,1.0,0.3500000000000032,1.0,10.0,5.0
2.2300000000000004,2.28,24.652647715747253,7.0,-0.33000000000000007,0.0,12.0,5.0
2.3400000000000003,2.7200000000000006,52.036823668603176,3.0,-0.33000000000000007,0.0,12.0,5.0
21.820000000000004,22.010000000000005,24.6768454704699,10.0,-0.33000000000000007,0.0,12.0,5.0
2.4000000000000004,2.3100000000000005,23.958196376420144,7.0,8.26,1.0,16.0,5.0
2.5800000000000005,2.5500000000000007,49.87131101545353,3.0,8.26,1.0,16.0,5.0
7.4300000000000015,0.0,52.2005492369057,1.0,8.26,1.0,16.0,5.0
13.690000000000001,12.980000000000002,22.370454194578347,10.0,8.26,1.0,16.0,5.0
0.0,7.2200000000000015,51.15136181413292,1.0,-7.959999999999999,0.0,19.0,5.0
13.600000000000001,13.710000000000003,21.51348580232365,10.0,-7.959999999999999,0.0,19.0,5.0
2.7300000000000004,2.5900000000000003,49.662880464025775,3.0,7.780000000000005,1.0,20.0,5.0
7.290000000000002,0.0,50.70282447555579,1.0,7.780000000000005,1.0,20.0,5.0
1.3600000000000003,1.3700000000000003,63.01821171475359,2.0,-0.45000000000000995,0.0,22.0,5.0
13.970000000000002,14.360000000000003,50.2213616466334,10.0,-0.45000000000000995,0.0,22.0,5.0
2.2300000000000004,2.26,21.769057109645953,7.0,-8.289999999999997,0.0,23.0,5.0
2.4600000000000004,2.5400000000000005,50.27735477453846,3.0,-8.289999999999997,0.0,23.0,5.0
0.0,7.360000000000001,50.70989697702729,1.0,-8.289999999999997,0.0,23.0,5.0
2.26,2.2000000000000006,21.769057109645953,7.0,8.35,1.0,23.0,5.0
7.360000000000001,0.0,50.70989697702729,1.0,8.35,1.0,23.0,5.0
13.670000000000002,13.510000000000003,27.908484408513935,10.0,8.35,1.0,23.0,5.0
2.4700000000000006,2.4900000000000007,30.436398420326032,3.0,-6.07,0.0,26.0,5.0
0.0,5.320000000000001,39.92229457853311,1.0,-6.07,0.0,26.0,5.0
4.130000000000001,6.6800000000000015,20.945670951334076,1.0,-1.9000000000000021,0.0,29.0,5.0
6.710000000000002,6.410000000000001,22.68762274254418,1.0,0.3999999999999986,1.0,30.0,5.0
13.990000000000002,13.870000000000003,21.98887245894538,10.0,0.3999999999999986,1.0,30.0,5.0
14.140000000000002,13.990000000000002,23.25180235046474,10.0,0.32000000000000206,1.0,32.0,5.0
2.2900000000000005,2.3300000000000005,25.871493116759858,7.0,-0.6100000000000012,0.0,34.0,5.0
13.990000000000002,14.110000000000003,21.38513470887087,10.0,-0.6100000000000012,0.0,34.0,5.0
2.3300000000000005,2.2900000000000005,25.871493116759858,7.0,0.6199999999999992,1.0,34.0,5.0
