Volume_pre,Volume_post,Significance,label,Frame
0.0730075043780656,0.0,0.0,1.0,0.0
0.0,0.0634847864157092,0.0,1.0,1.0
0.0634847864157092,0.0,0.0,1.0,2.0
0.0,0.0253939145662836,0.0,1.0,3.0
0.0253939145662836,0.0603105470949237,0.0,1.0,4.0
0.0603105470949237,0.0,0.0,1.0,5.0
0.0,0.0,0.0,1.0,6.0
0.0,0.0,0.0,1.0,7.0
0.0,0.0,0.0,1.0,8.0
0.0,0.0,0.0,1.0,9.0
0.0,0.0,0.0,1.0,10.0
0.0,0.0444393504909964,0.0,1.0,11.0
0.0444393504909964,0.0571363077741383,0.0,1.0,12.0
0.0571363077741383,0.041265111170211,0.0,1.0,13.0
0.041265111170211,0.0285681538870691,0.0,1.0,14.0
0.0285681538870691,0.0,0.0,1.0,15.0
0.0,0.0698332650572801,0.0,1.0,16.0
0.0698332650572801,0.0,0.0,1.0,17.0
0.0,0.0253939145662836,0.0,1.0,18.0
0.0253939145662836,0.0,0.0,1.0,19.0
0.0,0.0190454359247127,0.0,1.0,20.0
0.0190454359247127,0.0,0.0,1.0,21.0
0.0,0.0,0.0,1.0,22.0
0.0,0.0,0.0,1.0,23.0
0.0,0.7300750437806561,0.0,1.0,24.0
0.7300750437806561,0.7618174369885108,0.0,1.0,25.0
0.7618174369885108,0.6316736248363068,0.0,1.0,26.0
0.6316736248363068,0.0,0.0,1.0,27.0
0.0,0.0,0.0,1.0,28.0
0.0,0.0539620684533528,0.0,1.0,29.0
0.0539620684533528,0.0,0.0,1.0,30.0
0.0,0.0,0.0,1.0,31.0
0.0,0.0,0.0,1.0,32.0
0.0,0.0,0.0,1.0,33.0
0.0,0.3555148039279717,0.0,1.0,34.0
0.3555148039279717,1.698218036620222,1.0,1.0,35.0
1.698218036620222,0.0,1.0,1.0,36.0
0.0,0.0539620684533528,0.0,1.0,37.0
0.0539620684533528,0.0380908718494255,0.0,1.0,38.0
0.0380908718494255,0.5650145990998121,0.0,1.0,39.0
0.5650145990998121,0.4729616587970338,0.0,1.0,40.0
0.4729616587970338,0.4221738296644663,0.0,1.0,41.0
0.4221738296644663,1.7839224982814295,1.0,1.0,42.0
1.7839224982814295,1.99342229345327,0.0,1.0,43.0
1.99342229345327,0.0730075043780656,1.0,1.0,44.0
0.0730075043780656,1.7394831477904331,1.0,1.0,45.0
1.7394831477904331,0.0,1.0,1.0,46.0
0.0,1.9680283788869863,1.0,1.0,47.0
1.9680283788869863,1.637907489525298,0.0,1.0,48.0
1.637907489525298,1.6283847715629418,0.0,1.0,49.0
1.6283847715629418,0.0,1.0,1.0,50.0
0.0,0.0,0.0,1.0,51.0
0.0,0.1936285985679131,0.0,1.0,52.0
0.1936285985679131,0.0,0.0,1.0,53.0
0.0,0.0,0.0,1.0,54.0
0.0,0.0,0.0,1.0,55.0
0.0,0.0317423932078546,0.0,1.0,56.0
0.0317423932078546,0.0,0.0,1.0,57.0
0.0,0.0190454359247127,0.0,1.0,58.0
0.0190454359247127,0.0,0.0,1.0,59.0
0.0,0.0,0.0,1.0,60.0
0.0,0.0,0.0,1.0,61.0
0.0,0.0,0.0,1.0,62.0
0.0,0.0,0.0,1.0,63.0
0.0,0.0,0.0,1.0,64.0
0.0,0.0,0.0,1.0,65.0
0.0,0.0,0.0,1.0,66.0
0.0,0.0,0.0,1.0,67.0
0.0,0.0,0.0,1.0,68.0
0.0,0.0,0.0,1.0,69.0
0.0,0.0253939145662836,0.0,1.0,70.0
0.0253939145662836,0.0,0.0,1.0,71.0
0.0,0.0,0.0,1.0,72.0
0.0,0.0,0.0,1.0,73.0
0.0,0.0253939145662836,0.0,1.0,74.0
0.0253939145662836,0.0,0.0,1.0,75.0
0.0,0.0,0.0,1.0,76.0
0.0,0.0,0.0,1.0,77.0
