Volume_pre,Volume_post,diff,Distance,Nearest Label,isFusion,Frame,Label,algo_output,ground truth
0.650333427,1.644961021,1.529411764,13.03840481,230,1,18,200,1,1
0.918117779,0.420803982,-0.541666667,8.602325267,188,1,18,200,1,1
1.300666854,1.683215929,0.294117647,4.541237427,220,1,18,200,1,1
4.131530007,4.858373249,0.175925926,8.077747211,187,1,18,200,1,1
1.989255189,0,-1,1.118033989,200,1,19,200,0,0
0.420803982,0,-1,7.444005853,188,1,19,200,0,0
4.858373249,0,-1,4.397734797,187,1,19,200,0,0
0.229529445,0,-1,12.97112177,393,1,0,345,0,0
0.229529445,0.229529445,0,6.264982043,362,1,0,345,0,0
0.30603926,0,-1,4.301162634,336,1,0,345,0,0
0.30603926,0,-1,14.9760225,406,1,0,345,0,0
0.382549075,0,-1,9.470480452,325,1,0,345,0,0
0.420803982,0,-1,10,376,1,0,345,0,0
0.420803982,0,-1,14.37657645,414,1,0,345,0,0
0.535568705,0.344294167,-0.357142858,6.754061514,352,1,0,345,0,0
0.803353057,1.530196299,0.904761905,16.54054319,394,1,0,345,0,0
0.803353057,2.333549356,1.904761905,3.763110114,335,1,0,345,0,0
0.803353057,0,-1,8.447919681,339,1,0,345,0,0
0.956372687,0.497313797,-0.48,12.08933414,405,1,0,345,0,0
1.032882502,0.229529445,-0.777777778,4.707201965,344,1,0,345,0,0
1.032882502,0,-1,6.807665332,337,1,0,345,0,0
1.109392317,1.491941392,0.344827586,14.31217271,400,1,0,345,0,0
1.377176669,0.956372687,-0.305555555,14.16595859,380,1,0,345,0,0
1.415431577,1.147647224,-0.18918919,7.228908769,332,1,0,345,0,0
1.453686484,2.065765004,0.421052632,6.525732147,326,1,0,345,0,0
1.530196299,1.032882502,-0.325,15.175,369,1,0,345,0,0
9.181177794,11.43821734,0.245833334,1,345,1,1,345,1,1
0.229529445,1.491941392,5.499999998,9.708243919,353,1,1,345,1,1
0.229529445,0,-1,3.5,362,1,1,345,1,1
0.344294167,0,-1,1.448711646,352,1,1,345,1,1
0.497313797,0,-1,4.401452154,363,1,1,345,1,1
0.573823612,0.76509815,0.333333334,8.5,383,1,1,345,1,1
0.61207852,2.142274819,2.499999998,7.834718406,375,1,1,345,1,1
0.956372687,1.836235559,0.92,5.368053651,380,1,1,345,1,1
1.032882502,0,-1,4.204133738,369,1,1,345,1,1
