Volume_pre,Volume_post,Unnamed: 2,Distance,Nearest Label,isFusion,Frame,Label,algo_output,ground truth
5.508706677,6.579844086,0.194444444,7.866701977,52,1,11,31,1,1
7.115412791,10.06104067,0.413978495,2.020305089,31,1,12,31,1,1
0.76509815,0,-1,11.43208205,58,1,12,31,1,1
1.721470836,1.644961021,-0.044444444,7.435136179,15,1,12,31,1,1
2.601333708,1.377176669,-0.470588235,7.457575072,25,1,12,31,1,1
3.136902413,3.672471118,0.170731707,10.77287006,27,1,12,31,1,1
6.579844086,1.606706114,-0.755813953,4.126472801,52,1,12,31,1,1
10.06104067,10.78788391,0.072243346,3.231596091,31,1,13,31,0,1
0.30603926,0,-1,9.369164851,63,1,13,31,0,1
0.535568705,1.568451207,1.928571429,17.20954292,16,1,13,31,0,1
1.147647224,1.109392317,-0.033333333,11.86526209,36,1,13,31,0,1
1.377176669,0,-1,11.2395356,25,1,13,31,0,1
1.606706114,1.530196299,-0.047619048,5.773803387,52,1,13,31,0,1
1.797980651,1.644961021,-0.085106383,17.10216154,45,1,13,31,0,1
2.907372968,0.45905889,-0.842105263,12.00309877,80,1,13,31,0,1
3.672471118,3.78723584,0.03125,8.45284741,27,1,13,31,0,1
10.78788391,7.957020755,-0.262411348,2.653323097,31,1,14,31,1,1
0.267784352,0.344294167,0.285714286,11.18033989,74,1,14,31,1,1
0.45905889,0.688588335,0.5,16.71077497,80,1,14,31,1,1
0.956372687,1.568451207,0.64,3.354101966,94,1,14,31,1,1
1.109392317,1.377176669,0.24137931,15.8785896,36,1,14,31,1,1
1.377176669,1.951000281,0.416666667,10.84010205,15,1,14,31,1,1
1.530196299,2.180529726,0.425,4.916843217,52,1,14,31,1,1
1.568451207,1.415431577,-0.097560976,13.51677799,16,1,14,31,1,1
1.644961021,1.721470836,0.046511628,16.95910202,45,1,14,31,1,1
3.78723584,0.45905889,-0.878787879,13.70121876,27,1,14,31,1,1
7.957020755,6.579844086,-0.173076923,1.980810721,31,1,15,31,1,1
0.344294167,0,-1,12.55604719,74,1,15,31,1,1
0.420803982,0,-1,9.731095256,58,1,15,31,1,1
0.45905889,2.142274819,3.666666667,12.61227356,27,1,15,31,1,1
0.956372687,0.61207852,-0.36,9.422375679,25,1,15,31,1,1
1.377176669,1.377176669,0,8.859543574,36,1,15,31,1,1
1.568451207,1.797980651,0.146341463,9.382015893,94,1,15,31,1,1
1.721470836,1.568451207,-0.088888889,10.81968941,45,1,15,31,1,1
2.180529726,3.63421621,0.666666667,3.734534183,52,1,15,31,1,1
6.579844086,3.32817695,-0.494186047,1.118033989,31,1,16,31,1,1
0.61207852,1.224157039,1,9.458172723,25,1,16,31,1,1
1.377176669,2.142274819,0.555555556,3.250118706,36,1,16,31,1,1
1.568451207,1.644961021,0.048780488,11.00583913,45,1,16,31,1,1
1.797980651,0.803353057,-0.553191489,9.946966812,94,1,16,31,1,1
1.989255189,0.382549075,-0.807692308,16.4924225,15,1,16,31,1,1
3.63421621,2.639588616,-0.273684211,2.573907535,52,1,16,31,1,1
3.32817695,2.410059171,-0.275862069,2.652386897,31,1,17,31,1,0
0.382549075,1.262411947,2.3,4.924428901,15,1,17,31,1,0
0.497313797,0,-1,6.247366309,27,1,17,31,1,0
0.726843242,0.841607964,0.157894737,8.078733068,58,1,17,31,1,0
1.491941392,1.491941392,0,7.110705322,63,1,17,31,1,0
2.142274819,2.792608246,0.303571429,1.802775638,36,1,17,31,1,0
2.639588616,4.0932751,0.550724638,7.207551595,52,1,17,31,1,0
2.410059171,7.077157883,1.936507937,1.131923142,31,1,18,31,0,1
0.841607964,0,-1,8.677910028,58,1,18,31,0,1
1.491941392,0,-1,8.359957469,63,1,18,31,0,1
2.792608246,2.907372968,0.04109589,3.140771734,36,1,18,31,0,1
4.0932751,4.016765285,-0.018691589,10.97770482,52,1,18,31,0,1
7.077157883,5.929510659,-0.162162162,1.943067216,31,1,19,31,1,1
