Volume_pre,Volume_post,Significance,label,Frame
5.164487374917946,0.28250729954990583,1.0,1.0,0.0
0.28250729954990583,0.08887870098199269,0.0,1.0,1.0
0.08887870098199269,7.443591207241907,1.0,1.0,2.0
7.443591207241907,6.691296488215753,0.0,1.0,3.0
6.691296488215753,6.751607035310676,0.0,1.0,4.0
6.751607035310676,8.932309448690289,1.0,1.0,5.0
8.932309448690289,1.68552107933708,1.0,1.0,6.0
1.68552107933708,8.881521619557722,1.0,1.0,7.0
8.881521619557722,5.646971751677337,1.0,1.0,8.0
5.646971751677337,13.208009813788307,1.0,1.0,9.0
13.208009813788307,5.183532810842658,1.0,1.0,10.0
5.183532810842658,1.3522259506546062,1.0,1.0,11.0
1.3522259506546062,5.018472366161814,1.0,1.0,12.0
5.018472366161814,10.846375759123923,1.0,1.0,13.0
10.846375759123923,0.523749487929601,1.0,1.0,14.0
0.523749487929601,0.1587119660392729,0.0,1.0,15.0
0.1587119660392729,5.9707441623974535,1.0,1.0,16.0
5.9707441623974535,7.049985531464509,0.0,1.0,17.0
7.049985531464509,0.11427261554827658,1.0,1.0,18.0
0.11427261554827658,1.0221050612929183,0.0,1.0,19.0
1.0221050612929183,13.293714275449512,1.0,1.0,20.0
13.293714275449512,13.303236993411868,0.0,1.0,21.0
13.303236993411868,0.0444393504909963,1.0,1.0,22.0
0.0444393504909963,0.1460150087561311,0.0,1.0,23.0
0.1460150087561311,0.0,0.0,1.0,24.0
0.0,0.3301208893616875,0.0,1.0,25.0
0.3301208893616875,8.389514524835976,1.0,1.0,26.0
8.389514524835976,1.7902709769230003,1.0,1.0,27.0
1.7902709769230003,6.70081920617811,1.0,1.0,28.0
6.70081920617811,6.792872146480888,0.0,1.0,29.0
6.792872146480888,0.1777574019639857,1.0,1.0,30.0
0.1777574019639857,0.0698332650572801,0.0,1.0,31.0
0.0698332650572801,0.276158820908335,0.0,1.0,32.0
0.276158820908335,0.06983326505727999,0.0,1.0,33.0
0.06983326505727999,0.0476135898117819,0.0,1.0,34.0
0.0476135898117819,0.2190225131341965,0.0,1.0,35.0
0.2190225131341965,0.13331805147298909,0.0,1.0,36.0
0.13331805147298909,0.13966653011455998,0.0,1.0,37.0
0.13966653011455998,0.380908718494255,0.0,1.0,38.0
0.380908718494255,0.22537099177576758,0.0,1.0,39.0
0.22537099177576758,0.35551480392797125,0.0,1.0,40.0
0.35551480392797125,0.3301208893616876,0.0,1.0,41.0
0.3301208893616876,0.2031513165302694,0.0,1.0,42.0
0.2031513165302694,0.3586890432487567,0.0,1.0,43.0
0.3586890432487567,0.6411963427986629,0.0,1.0,44.0
0.6411963427986629,0.3586890432487568,0.0,1.0,45.0
0.3586890432487568,0.2221967524549821,0.0,1.0,46.0
0.2221967524549821,0.10474989758591999,0.0,1.0,47.0
0.10474989758591999,0.2412421883796948,0.0,1.0,48.0
0.2412421883796948,0.6919841719312304,0.0,1.0,49.0
0.6919841719312304,0.0952271796235636,0.0,1.0,50.0
0.0952271796235636,0.1491892480769165,0.0,1.0,51.0
0.1491892480769165,0.1237953335106328,0.0,1.0,52.0
0.1237953335106328,0.1047498975859201,0.0,1.0,53.0
0.1047498975859201,0.723726565139085,0.0,1.0,54.0
0.723726565139085,2.831421474140632,1.0,1.0,55.0
2.831421474140632,6.07866829930416,1.0,1.0,56.0
6.07866829930416,0.1618862053600584,1.0,1.0,57.0
0.1618862053600584,0.6475448214402341,0.0,1.0,58.0
0.6475448214402341,1.6410817288460835,0.0,1.0,59.0
1.6410817288460835,0.0,1.0,1.0,60.0
0.0603105470949237,0.0,0.0,2.0,0.0
0.0,0.0,0.0,2.0,1.0
0.0,0.0,0.0,2.0,2.0
0.0,0.041265111170211,0.0,2.0,3.0
0.041265111170211,0.0,0.0,2.0,4.0
0.0,0.1015756582651347,0.0,2.0,5.0
0.1015756582651347,0.0,0.0,2.0,6.0
0.0,0.0,0.0,2.0,7.0
0.0,0.0,0.0,2.0,8.0
0.0,0.0,0.0,2.0,9.0
0.0,0.0,0.0,2.0,10.0
0.0,0.0,0.0,2.0,11.0
0.0,0.0,0.0,2.0,12.0
0.0,0.0,0.0,2.0,13.0
0.0,0.0,0.0,2.0,14.0
0.0,0.0,0.0,2.0,15.0
0.0,0.0,0.0,2.0,16.0
0.0,0.0,0.0,2.0,17.0
0.0,0.0,0.0,2.0,18.0
0.0,0.0,0.0,2.0,19.0
0.0,0.0,0.0,2.0,20.0
0.0,0.0,0.0,2.0,21.0
0.0,0.0,0.0,2.0,22.0
0.0,0.0,0.0,2.0,23.0
0.0,0.0,0.0,2.0,24.0
0.0,0.0634847864157092,0.0,2.0,25.0
0.0634847864157092,0.0,0.0,2.0,26.0
0.0,0.0,0.0,2.0,27.0
0.0,0.0,0.0,2.0,28.0
0.0,0.1301438121522039,0.0,2.0,29.0
0.1301438121522039,0.0,0.0,2.0,30.0
0.0,0.0666590257364947,0.0,2.0,31.0
0.0666590257364947,0.0,0.0,2.0,32.0
0.0,0.0507878291325673,0.0,2.0,33.0
0.0507878291325673,0.0,0.0,2.0,34.0
0.0,0.0,0.0,2.0,35.0
0.0,0.0,0.0,2.0,36.0
0.0,0.0952271796235637,0.0,2.0,37.0
0.0952271796235637,0.0190454359247127,0.0,2.0,38.0
0.0190454359247127,0.0,0.0,2.0,39.0
0.0,0.0,0.0,2.0,40.0
0.0,0.0222196752454982,0.0,2.0,41.0
0.0222196752454982,0.1364922907937748,0.0,2.0,42.0
0.1364922907937748,0.0380908718494255,0.0,2.0,43.0
0.0380908718494255,0.0571363077741383,0.0,2.0,44.0
0.0571363077741383,0.0,0.0,2.0,45.0
0.0,0.0571363077741382,0.0,2.0,46.0
0.0571363077741382,0.0,0.0,2.0,47.0
0.0,0.0,0.0,2.0,48.0
0.0,0.0,0.0,2.0,49.0
0.0,0.0,0.0,2.0,50.0
0.0,0.0222196752454982,0.0,2.0,51.0
0.0222196752454982,0.03491663252864,0.0,2.0,52.0
0.03491663252864,0.0190454359247127,0.0,2.0,53.0
0.0190454359247127,0.0,0.0,2.0,54.0
0.0,0.0253939145662836,0.0,2.0,55.0
0.0253939145662836,0.0,0.0,2.0,56.0
0.0,0.0,0.0,2.0,57.0
0.0,0.0,0.0,2.0,58.0
0.0,0.0285681538870691,0.0,2.0,59.0
0.0285681538870691,0.0,0.0,2.0,60.0
0.0285681538870691,0.0,0.0,3.0,0.0
0.0,0.0,0.0,3.0,1.0
0.0,0.0,0.0,3.0,2.0
0.0,0.0,0.0,3.0,3.0
0.0,0.0,0.0,3.0,4.0
0.0,0.0,0.0,3.0,5.0
0.0,0.0,0.0,3.0,6.0
0.0,0.0,0.0,3.0,7.0
0.0,0.0,0.0,3.0,8.0
0.0,0.0,0.0,3.0,9.0
0.0,0.0,0.0,3.0,10.0
0.0,0.0,0.0,3.0,11.0
0.0,0.0,0.0,3.0,12.0
0.0,0.0,0.0,3.0,13.0
0.0,0.0,0.0,3.0,14.0
0.0,0.0,0.0,3.0,15.0
0.0,0.0,0.0,3.0,16.0
0.0,0.0,0.0,3.0,17.0
0.0,0.0,0.0,3.0,18.0
0.0,0.0,0.0,3.0,19.0
0.0,0.0,0.0,3.0,20.0
0.0,0.0,0.0,3.0,21.0
0.0,0.0,0.0,3.0,22.0
0.0,0.0,0.0,3.0,23.0
0.0,0.0,0.0,3.0,24.0
0.0,0.0,0.0,3.0,25.0
0.0,0.0,0.0,3.0,26.0
0.0,0.0,0.0,3.0,27.0
0.0,0.0,0.0,3.0,28.0
0.0,0.0,0.0,3.0,29.0
0.0,0.0,0.0,3.0,30.0
0.0,0.0,0.0,3.0,31.0
0.0,0.0,0.0,3.0,32.0
0.0,0.0,0.0,3.0,33.0
0.0,0.0,0.0,3.0,34.0
0.0,0.0,0.0,3.0,35.0
0.0,0.0,0.0,3.0,36.0
0.0,0.0,0.0,3.0,37.0
0.0,0.0,0.0,3.0,38.0
0.0,0.0,0.0,3.0,39.0
0.0,0.0,0.0,3.0,40.0
0.0,0.0,0.0,3.0,41.0
0.0,0.0,0.0,3.0,42.0
0.0,0.0,0.0,3.0,43.0
0.0,0.0,0.0,3.0,44.0
0.0,0.0,0.0,3.0,45.0
0.0,0.0,0.0,3.0,46.0
0.0,0.0,0.0,3.0,47.0
0.0,0.0,0.0,3.0,48.0
0.0,0.0,0.0,3.0,49.0
0.0,0.0,0.0,3.0,50.0
0.0,0.0,0.0,3.0,51.0
0.0,0.0,0.0,3.0,52.0
0.0,0.0,0.0,3.0,53.0
0.0,0.0,0.0,3.0,54.0
0.0,0.0,0.0,3.0,55.0
0.0,0.0,0.0,3.0,56.0
0.0,0.0,0.0,3.0,57.0
0.0,0.0,0.0,3.0,58.0
0.0,0.0,0.0,3.0,59.0
0.0,0.0,0.0,3.0,60.0
0.03491663252864,0.0,0.0,4.0,0.0
0.0,0.1079241369067057,0.0,4.0,1.0
0.1079241369067057,0.0,0.0,4.0,2.0
0.0,0.0,0.0,4.0,3.0
0.0,0.0,0.0,4.0,4.0
0.0,0.0,0.0,4.0,5.0
0.0,0.0,0.0,4.0,6.0
0.0,0.0,0.0,4.0,7.0
0.0,0.0,0.0,4.0,8.0
0.0,0.0,0.0,4.0,9.0
0.0,0.0,0.0,4.0,10.0
0.0,0.0,0.0,4.0,11.0
0.0,0.0,0.0,4.0,12.0
0.0,0.0,0.0,4.0,13.0
0.0,0.0,0.0,4.0,14.0
0.0,0.0,0.0,4.0,15.0
0.0,0.0,0.0,4.0,16.0
0.0,0.0,0.0,4.0,17.0
0.0,0.0,0.0,4.0,18.0
0.0,0.0,0.0,4.0,19.0
0.0,0.0,0.0,4.0,20.0
0.0,0.0,0.0,4.0,21.0
0.0,0.0,0.0,4.0,22.0
0.0,0.0,0.0,4.0,23.0
0.0,0.0,0.0,4.0,24.0
0.0,0.0,0.0,4.0,25.0
0.0,0.0,0.0,4.0,26.0
0.0,0.0,0.0,4.0,27.0
0.0,0.0,0.0,4.0,28.0
0.0,0.0,0.0,4.0,29.0
0.0,0.0,0.0,4.0,30.0
0.0,0.0,0.0,4.0,31.0
0.0,0.0,0.0,4.0,32.0
0.0,0.0,0.0,4.0,33.0
0.0,0.0,0.0,4.0,34.0
0.0,0.0,0.0,4.0,35.0
0.0,0.0,0.0,4.0,36.0
0.0,0.0,0.0,4.0,37.0
0.0,0.0,0.0,4.0,38.0
0.0,0.0,0.0,4.0,39.0
0.0,0.0,0.0,4.0,40.0
0.0,0.0,0.0,4.0,41.0
0.0,0.0,0.0,4.0,42.0
0.0,0.0,0.0,4.0,43.0
0.0,0.0,0.0,4.0,44.0
0.0,0.0,0.0,4.0,45.0
0.0,0.0,0.0,4.0,46.0
0.0,0.0,0.0,4.0,47.0
0.0,0.0,0.0,4.0,48.0
0.0,0.0,0.0,4.0,49.0
0.0,0.0,0.0,4.0,50.0
0.0,0.0,0.0,4.0,51.0
0.0,0.0,0.0,4.0,52.0
0.0,0.0,0.0,4.0,53.0
0.0,0.0,0.0,4.0,54.0
0.0,0.0,0.0,4.0,55.0
0.0,0.0,0.0,4.0,56.0
0.0,0.0,0.0,4.0,57.0
0.0,0.0,0.0,4.0,58.0
0.0,0.0,0.0,4.0,59.0
0.0,0.0,0.0,4.0,60.0
0.1396665301145603,0.3205981713993316,0.0,5.0,0.0
0.3205981713993316,0.0476135898117819,0.0,5.0,1.0
0.0476135898117819,0.0,0.0,5.0,2.0
0.0,0.0285681538870691,0.0,5.0,3.0
0.0285681538870691,0.3237724107201169,0.0,5.0,4.0
0.3237724107201169,0.1968028378886986,0.0,5.0,5.0
0.1968028378886986,0.7427720010637979,0.0,5.0,6.0
0.7427720010637979,0.3332951286824734,0.0,5.0,7.0
0.3332951286824734,0.0476135898117819,0.0,5.0,8.0
0.0476135898117819,0.0,0.0,5.0,9.0
0.0,0.0,0.0,5.0,10.0
0.0,0.0,0.0,5.0,11.0
0.0,0.0,0.0,5.0,12.0
0.0,0.1301438121522039,0.0,5.0,13.0
0.1301438121522039,0.0,0.0,5.0,14.0
0.0,0.0,0.0,5.0,15.0
0.0,0.0,0.0,5.0,16.0
0.0,0.1110983762274911,0.0,5.0,17.0
0.1110983762274911,0.0,0.0,5.0,18.0
0.0,0.0,0.0,5.0,19.0
0.0,0.0,0.0,5.0,20.0
0.0,0.082530222340422,0.0,5.0,21.0
0.082530222340422,0.0190454359247127,0.0,5.0,22.0
0.0190454359247127,0.0,0.0,5.0,23.0
0.0,0.0444393504909964,0.0,5.0,24.0
0.0444393504909964,0.0253939145662836,0.0,5.0,25.0
0.0253939145662836,0.0,0.0,5.0,26.0
0.0,0.03491663252864,0.0,5.0,27.0
0.03491663252864,0.0190454359247127,0.0,5.0,28.0
0.0190454359247127,0.0857044616612074,0.0,5.0,29.0
0.0857044616612074,0.0,0.0,5.0,30.0
0.0,0.0920529403027783,0.0,5.0,31.0
0.0920529403027783,0.0285681538870691,0.0,5.0,32.0
0.0285681538870691,0.0317423932078546,0.0,5.0,33.0
0.0317423932078546,0.0,0.0,5.0,34.0
0.0,0.0,0.0,5.0,35.0
0.0,0.0190454359247127,0.0,5.0,36.0
0.0190454359247127,0.0,0.0,5.0,37.0
0.0,0.0253939145662836,0.0,5.0,38.0
0.0253939145662836,0.0,0.0,5.0,39.0
0.0,0.0,0.0,5.0,40.0
0.0,0.0253939145662836,0.0,5.0,41.0
0.0253939145662836,0.0,0.0,5.0,42.0
0.0,0.0,0.0,5.0,43.0
0.0,0.0,0.0,5.0,44.0
0.0,0.0507878291325673,0.0,5.0,45.0
0.0507878291325673,0.536446445212743,0.0,5.0,46.0
0.536446445212743,0.0,0.0,5.0,47.0
0.0,0.0,0.0,5.0,48.0
0.0,0.0888787009819928,0.0,5.0,49.0
0.0888787009819928,0.0825302223404218,0.0,5.0,50.0
0.0825302223404218,0.0253939145662836,0.0,5.0,51.0
0.0253939145662836,0.0666590257364946,0.0,5.0,52.0
0.0666590257364946,0.0793559830196364,0.0,5.0,53.0
0.0793559830196364,0.1587119660392729,0.0,5.0,54.0
0.1587119660392729,0.371386000531899,0.0,5.0,55.0
0.371386000531899,0.0,0.0,5.0,56.0
0.0,0.0,0.0,5.0,57.0
0.0,0.0,0.0,5.0,58.0
0.0,0.0,0.0,5.0,59.0
0.0,0.0,0.0,5.0,60.0
