combination_threshold,area_threshold,num_neighbor,tpr,fpr,auc,accuracy,precesion,recall,f1_score
5,0.0_,3,0.8642297650130548,0.4506578947368421,-0.817790641747973,0.7248908296943232,0.7072649572649573,0.8642297650130548,0.7779083431257344
5,0.25,3,0.7676240208877284,0.23684210526315788,-0.817790641747973,0.7656477438136827,0.8032786885245902,0.7676240208877284,0.7850467289719626
5,0.5_,3,0.6527415143603134,0.13486842105263158,-0.817790641747973,0.7467248908296943,0.8591065292096219,0.6527415143603134,0.741839762611276
5,0.75,3,0.566579634464752,0.10197368421052631,-0.817790641747973,0.7132459970887919,0.875,0.566579634464752,0.6877971473851031
5,1.0_,3,0.4856396866840731,0.06578947368421052,-0.817790641747973,0.6841339155749636,0.9029126213592233,0.4856396866840731,0.631578947368421
5,1.25,3,0.412532637075718,0.05592105263157895,-0.817790641747973,0.6477438136826783,0.9028571428571428,0.412532637075718,0.5663082437275985
5,1.5_,3,0.36553524804177545,0.04276315789473684,-0.817790641747973,0.6273653566229985,0.9150326797385621,0.36553524804177545,0.5223880597014926
5,1.75,3,0.3289817232375979,0.03289473684210526,-0.817790641747973,0.611353711790393,0.9264705882352942,0.3289817232375979,0.4855491329479769
5,2.0_,3,0.2898172323759791,0.02631578947368421,-0.817790641747973,0.5924308588064047,0.9327731092436975,0.2898172323759791,0.4422310756972111
5,2.25,3,0.26631853785900783,0.019736842105263157,-0.817790641747973,0.5822416302765647,0.9444444444444444,0.26631853785900783,0.4154786150712831
5,2.5_,3,0.21409921671018275,0.019736842105263157,-0.817790641747973,0.5531295487627366,0.9318181818181818,0.21409921671018275,0.3481953290870488
5,2.75,3,0.2010443864229765,0.013157894736842105,-0.817790641747973,0.5487627365356623,0.9506172839506173,0.2010443864229765,0.3318965517241379
5,3.0_,3,0.1671018276762402,0.009868421052631578,-0.817790641747973,0.5312954876273653,0.9552238805970149,0.1671018276762402,0.28444444444444444
5,3.25,3,0.1462140992167102,0.006578947368421052,-0.817790641747973,0.5211062590975255,0.9655172413793104,0.1462140992167102,0.25396825396825395
5,3.5_,3,0.13054830287206268,0.006578947368421052,-0.817790641747973,0.512372634643377,0.9615384615384616,0.13054830287206268,0.2298850574712644
5,3.75,3,0.1122715404699739,0.006578947368421052,-0.817790641747973,0.5021834061135371,0.9555555555555556,0.1122715404699739,0.20093457943925233
5,4.0_,3,0.09660574412532637,0.003289473684210526,-0.817790641747973,0.4949053857350801,0.9736842105263158,0.09660574412532637,0.17577197149643706
5,4.25,3,0.08616187989556136,0.003289473684210526,-0.817790641747973,0.4890829694323144,0.9705882352941176,0.08616187989556136,0.15827338129496402
5,4.5_,3,0.0731070496083551,0.003289473684210526,-0.817790641747973,0.48180494905385735,0.9655172413793104,0.0731070496083551,0.13592233009708737
5,4.75,3,0.06527415143603134,0.003289473684210526,-0.817790641747973,0.4774381368267831,0.9615384615384616,0.06527415143603134,0.12224938875305624
5,5.0_,3,0.06005221932114883,0.003289473684210526,-0.817790641747973,0.4745269286754003,0.9583333333333334,0.06005221932114883,0.11302211302211301
