Volume_pre,Volume_post,Significance,label,Frame
2.870000000000001,3.630000000000001,1.0,1.0,0.0
3.630000000000001,1.6500000000000004,1.0,1.0,1.0
1.6500000000000004,1.6900000000000004,0.0,1.0,2.0
1.9700000000000004,0.6700000000000002,1.0,1.0,8.0
3.3300000000000005,1.12,1.0,1.0,10.0
3.0900000000000007,0.7500000000000001,1.0,1.0,12.0
1.8500000000000003,1.16,1.0,2.0,3.0
2.5600000000000005,2.5600000000000005,0.0,2.0,17.0
2.5600000000000005,2.4900000000000007,0.0,2.0,18.0
2.4900000000000007,1.92,1.0,2.0,19.0
1.92,2.9700000000000006,1.0,2.0,20.0
2.9700000000000006,2.6400000000000006,1.0,2.0,21.0
2.6400000000000006,2.670000000000001,0.0,2.0,22.0
2.670000000000001,2.250000000000001,1.0,2.0,23.0
2.250000000000001,2.4700000000000006,0.0,2.0,24.0
2.4700000000000006,2.7700000000000005,1.0,2.0,25.0
2.7700000000000005,2.6900000000000004,0.0,2.0,26.0
2.6900000000000004,2.4200000000000004,1.0,2.0,27.0
2.4200000000000004,1.8900000000000001,1.0,2.0,28.0
1.8900000000000001,2.2700000000000005,1.0,2.0,29.0
2.2700000000000005,1.4900000000000002,1.0,2.0,30.0
1.9300000000000004,1.0600000000000005,1.0,2.0,32.0
1.4600000000000002,1.8000000000000005,1.0,3.0,0.0
1.8000000000000005,0.6800000000000002,1.0,3.0,1.0
1.4300000000000004,0.9700000000000002,1.0,5.0,0.0
2.2500000000000004,2.2200000000000006,0.0,5.0,2.0
2.2200000000000006,3.9400000000000004,1.0,5.0,3.0
3.9400000000000004,4.990000000000001,1.0,5.0,4.0
4.990000000000001,3.9000000000000012,1.0,5.0,5.0
3.9000000000000012,3.810000000000001,0.0,5.0,6.0
3.810000000000001,3.490000000000001,1.0,5.0,7.0
3.490000000000001,4.860000000000001,1.0,5.0,8.0
4.860000000000001,2.9300000000000006,1.0,5.0,9.0
2.9300000000000006,3.950000000000001,1.0,5.0,10.0
3.950000000000001,3.500000000000001,1.0,5.0,11.0
3.500000000000001,4.320000000000001,1.0,5.0,12.0
4.320000000000001,2.03,1.0,5.0,13.0
2.03,3.630000000000001,1.0,5.0,14.0
3.630000000000001,3.140000000000001,1.0,5.0,15.0
3.140000000000001,4.19,1.0,5.0,16.0
4.19,3.3200000000000007,1.0,5.0,17.0
3.3200000000000007,0.0,1.0,5.0,18.0
2.890000000000001,1.4700000000000002,1.0,5.0,20.0
2.0900000000000003,1.3400000000000003,1.0,5.0,25.0
1.8500000000000003,0.6100000000000001,1.0,6.0,14.0
1.4500000000000002,0.0,1.0,7.0,1.0
5.0600000000000005,2.9500000000000006,1.0,8.0,1.0
2.9500000000000006,5.8900000000000015,1.0,8.0,2.0
5.8900000000000015,5.920000000000002,0.0,8.0,3.0
5.920000000000002,2.7300000000000004,1.0,8.0,4.0
2.7300000000000004,5.3900000000000015,1.0,8.0,5.0
5.3900000000000015,5.330000000000001,0.0,8.0,6.0
5.330000000000001,3.8400000000000007,1.0,8.0,7.0
3.8400000000000007,3.4900000000000007,1.0,8.0,8.0
3.4900000000000007,3.0500000000000007,1.0,8.0,9.0
3.0500000000000007,4.700000000000001,1.0,8.0,10.0
4.700000000000001,0.0,1.0,8.0,11.0
5.040000000000001,3.670000000000001,1.0,8.0,13.0
