Frames that have non-zero fusion/fission events (chunk-based):
Frame 307: Fussion_2 = 5, Fussion_1 = 2, Fission = 5
Frame 308: Fussion_2 = 8, Fussion_1 = 0, Fission = 9
Frame 309: Fussion_2 = 1, Fussion_1 = 3, Fission = 3
Frame 310: Fussion_2 = 2, Fussion_1 = 2, Fission = 5
Frame 311: Fussion_2 = 2, Fussion_1 = 2, Fission = 3
Frame 312: Fussion_2 = 2, Fussion_1 = 4, Fission = 7
Frame 313: Fussion_2 = 3, Fussion_1 = 2, Fission = 4
Frame 314: Fussion_2 = 4, Fussion_1 = 3, Fission = 7
Frame 315: Fussion_2 = 4, Fussion_1 = 1, Fission = 5
Frame 316: Fussion_2 = 4, Fussion_1 = 1, Fission = 7
Frame 317: Fussion_2 = 4, Fussion_1 = 0, Fission = 2
Frame 318: Fussion_2 = 2, Fussion_1 = 1, Fission = 4
Frame 319: Fussion_2 = 3, Fussion_1 = 3, Fission = 7
Frame 320: Fussion_2 = 6, Fussion_1 = 2, Fission = 6
Frame 321: Fussion_2 = 3, Fussion_1 = 1, Fission = 6
Frame 322: Fussion_2 = 5, Fussion_1 = 0, Fission = 4
Frame 323: Fussion_2 = 3, Fussion_1 = 1, Fission = 3
Frame 324: Fussion_2 = 4, Fussion_1 = 2, Fission = 8
Frame 325: Fussion_2 = 3, Fussion_1 = 3, Fission = 5
Frame 326: Fussion_2 = 2, Fussion_1 = 3, Fission = 5
Frame 327: Fussion_2 = 2, Fussion_1 = 1, Fission = 2
Frame 328: Fussion_2 = 3, Fussion_1 = 1, Fission = 5
Frame 329: Fussion_2 = 4, Fussion_1 = 0, Fission = 4
Frame 330: Fussion_2 = 3, Fussion_1 = 1, Fission = 6
Frame 331: Fussion_2 = 4, Fussion_1 = 4, Fission = 7
Frame 332: Fussion_2 = 7, Fussion_1 = 4, Fission = 11
Frame 333: Fussion_2 = 3, Fussion_1 = 2, Fission = 3
Frame 334: Fussion_2 = 3, Fussion_1 = 2, Fission = 5
Frame 335: Fussion_2 = 0, Fussion_1 = 3, Fission = 4
Frame 336: Fussion_2 = 4, Fussion_1 = 1, Fission = 6
Frame 337: Fussion_2 = 4, Fussion_1 = 0, Fission = 4
Frame 338: Fussion_2 = 1, Fussion_1 = 3, Fission = 2
Frame 339: Fussion_2 = 5, Fussion_1 = 2, Fission = 7
Frame 340: Fussion_2 = 2, Fussion_1 = 1, Fission = 5
Frame 341: Fussion_2 = 2, Fussion_1 = 1, Fission = 1
