Frames that have non-zero fusion/fission events (chunk-based):
Frame 91: Fussion_2 = 3, Fussion_1 = 1, Fission = 5
Frame 92: Fussion_2 = 1, Fussion_1 = 3, Fission = 4
Frame 93: Fussion_2 = 2, Fussion_1 = 2, Fission = 2
Frame 94: Fussion_2 = 3, Fussion_1 = 2, Fission = 5
Frame 95: Fussion_2 = 2, Fussion_1 = 5, Fission = 8
Frame 96: Fussion_2 = 1, Fussion_1 = 1, Fission = 1
Frame 97: Fussion_2 = 1, Fussion_1 = 1, Fission = 4
Frame 98: Fussion_2 = 2, Fussion_1 = 1, Fission = 3
Frame 99: Fussion_2 = 3, Fussion_1 = 2, Fission = 4
Frame 100: Fussion_2 = 0, Fussion_1 = 3, Fission = 3
Frame 101: Fussion_2 = 3, Fussion_1 = 3, Fission = 6
Frame 102: Fussion_2 = 0, Fussion_1 = 0, Fission = 1
Frame 103: Fussion_2 = 2, Fussion_1 = 2, Fission = 3
Frame 104: Fussion_2 = 1, Fussion_1 = 1, Fission = 2
Frame 105: Fussion_2 = 0, Fussion_1 = 5, Fission = 6
Frame 106: Fussion_2 = 1, Fussion_1 = 5, Fission = 6
Frame 107: Fussion_2 = 2, Fussion_1 = 0, Fission = 1
Frame 108: Fussion_2 = 2, Fussion_1 = 1, Fission = 3
Frame 109: Fussion_2 = 0, Fussion_1 = 2, Fission = 2
Frame 110: Fussion_2 = 0, Fussion_1 = 1, Fission = 3
Frame 111: Fussion_2 = 0, Fussion_1 = 6, Fission = 5
Frame 112: Fussion_2 = 2, Fussion_1 = 1, Fission = 4
Frame 113: Fussion_2 = 5, Fussion_1 = 2, Fission = 7
Frame 114: Fussion_2 = 2, Fussion_1 = 1, Fission = 4
Frame 115: Fussion_2 = 2, Fussion_1 = 5, Fission = 5
Frame 116: Fussion_2 = 1, Fussion_1 = 3, Fission = 4
Frame 117: Fussion_2 = 2, Fussion_1 = 3, Fission = 5
Frame 118: Fussion_2 = 2, Fussion_1 = 2, Fission = 7
Frame 119: Fussion_2 = 1, Fussion_1 = 5, Fission = 5
Frame 120: Fussion_2 = 2, Fussion_1 = 2, Fission = 4
Frame 121: Fussion_2 = 6, Fussion_1 = 2, Fission = 7
Frame 122: Fussion_2 = 2, Fussion_1 = 2, Fission = 4
Frame 123: Fussion_2 = 3, Fussion_1 = 4, Fission = 7
Frame 124: Fussion_2 = 2, Fussion_1 = 4, Fission = 6
Frame 125: Fussion_2 = 1, Fussion_1 = 4, Fission = 5
Frame 126: Fussion_2 = 2, Fussion_1 = 4, Fission = 5
Frame 127: Fussion_2 = 3, Fussion_1 = 2, Fission = 6
Frame 128: Fussion_2 = 1, Fussion_1 = 3, Fission = 5
Frame 129: Fussion_2 = 3, Fussion_1 = 3, Fission = 7
Frame 130: Fussion_2 = 3, Fussion_1 = 1, Fission = 4
Frame 131: Fussion_2 = 1, Fussion_1 = 1, Fission = 3
Frame 132: Fussion_2 = 3, Fussion_1 = 2, Fission = 4
Frame 133: Fussion_2 = 5, Fussion_1 = 0, Fission = 6
Frame 135: Fussion_2 = 2, Fussion_1 = 2, Fission = 4
Frame 136: Fussion_2 = 2, Fussion_1 = 3, Fission = 8
Frame 137: Fussion_2 = 3, Fussion_1 = 3, Fission = 3
Frame 138: Fussion_2 = 1, Fussion_1 = 2, Fission = 3
Frame 139: Fussion_2 = 6, Fussion_1 = 2, Fission = 7
Frame 140: Fussion_2 = 1, Fussion_1 = 1, Fission = 2
Frame 141: Fussion_2 = 0, Fussion_1 = 3, Fission = 3
Frame 142: Fussion_2 = 3, Fussion_1 = 3, Fission = 7
Frame 143: Fussion_2 = 0, Fussion_1 = 3, Fission = 3
