combination_threshold,area_threshold,num_neighbor,tpr,fpr,auc,accuracy,precesion,recall,f1_score
15,0.0_,3,0.8720626631853786,0.45394736842105265,-0.8150164903119418,0.727802037845706,0.7076271186440678,0.8720626631853786,0.7812865497076024
15,0.25,3,0.7754569190600522,0.2532894736842105,-0.8150164903119418,0.7627365356622998,0.7941176470588235,0.7754569190600522,0.7846763540290621
15,0.5_,3,0.6631853785900783,0.15460526315789475,-0.8150164903119418,0.7438136826783115,0.8438538205980066,0.6631853785900783,0.7426900584795322
15,0.75,3,0.5744125326370757,0.12171052631578948,-0.8150164903119418,0.7088791848617176,0.8560311284046692,0.5744125326370757,0.6875
15,1.0_,3,0.4934725848563969,0.08223684210526316,-0.8150164903119418,0.6812227074235808,0.883177570093458,0.4934725848563969,0.6331658291457287
15,1.25,3,0.412532637075718,0.06578947368421052,-0.8150164903119418,0.6433770014556041,0.8876404494382022,0.412532637075718,0.5632798573975044
15,1.5_,3,0.3629242819843342,0.046052631578947366,-0.8150164903119418,0.6244541484716157,0.9084967320261438,0.3629242819843342,0.5186567164179104
15,1.75,3,0.3263707571801567,0.03618421052631579,-0.8150164903119418,0.6084425036390102,0.9191176470588235,0.3263707571801567,0.48169556840077066
15,2.0_,3,0.2898172323759791,0.029605263157894735,-0.8150164903119418,0.5909752547307132,0.925,0.2898172323759791,0.4413518886679921
15,2.25,3,0.26370757180156656,0.019736842105263157,-0.8150164903119418,0.5807860262008734,0.9439252336448598,0.26370757180156656,0.41224489795918373
15,2.5_,3,0.21671018276762402,0.019736842105263157,-0.8150164903119418,0.5545851528384279,0.9325842696629213,0.21671018276762402,0.3516949152542373
15,2.75,3,0.20365535248041775,0.013157894736842105,-0.8150164903119418,0.5502183406113537,0.9512195121951219,0.20365535248041775,0.33548387096774196
15,3.0_,3,0.1671018276762402,0.009868421052631578,-0.8150164903119418,0.5312954876273653,0.9552238805970149,0.1671018276762402,0.28444444444444444
15,3.25,3,0.14360313315926893,0.006578947368421052,-0.8150164903119418,0.519650655021834,0.9649122807017544,0.14360313315926893,0.25
15,3.5_,3,0.12532637075718014,0.006578947368421052,-0.8150164903119418,0.5094614264919942,0.96,0.12532637075718014,0.22170900692840645
15,3.75,3,0.10704960835509138,0.006578947368421052,-0.8150164903119418,0.4992721979621543,0.9534883720930233,0.10704960835509138,0.1924882629107981
15,4.0_,3,0.09138381201044386,0.003289473684210526,-0.8150164903119418,0.49199417758369723,0.9722222222222222,0.09138381201044386,0.16706443914081145
15,4.25,3,0.08093994778067885,0.003289473684210526,-0.8150164903119418,0.4861717612809316,0.96875,0.08093994778067885,0.1493975903614458
15,4.5_,3,0.06788511749347259,0.003289473684210526,-0.8150164903119418,0.47889374090247455,0.9629629629629629,0.06788511749347259,0.12682926829268293
15,4.75,3,0.06005221932114883,0.003289473684210526,-0.8150164903119418,0.4745269286754003,0.9583333333333334,0.06005221932114883,0.11302211302211301
15,5.0_,3,0.05483028720626632,0.003289473684210526,-0.8150164903119418,0.47161572052401746,0.9545454545454546,0.05483028720626632,0.10370370370370371
