,control,FCCP,Oligomycin,Rotenone,F_score
value,6.445255474452555,9.686131386861314,5.211678832116788,4.401459854014599,55.787285417133184
value and self,23.912408759124087,44.66423357664234,23.10948905109489,17.255474452554743,460.3344540126465
value/area,0.028345166610353183,0.05594575938795753,0.020659632941521698,0.035321801527276805,93.90071687955688
value and self/area,0.10537309133495484,0.2659490938588391,0.09241783153299336,0.13980990620811964,595.247214284693
value/component,0.022767524256606577,0.024515566769856657,0.019059909332912527,0.026504083168716643,7.714204975832802
value and self/component,0.0847891317810345,0.11160452486923611,0.0846821423360566,0.10591624651947847,38.33226794370079
