,control,FCCP,Oligomycin,Rotenone,F_score
value,6.423357664233577,9.489051094890511,5.197080291970803,4.007299270072993,64.75164479695897
value and self,24.664233576642335,45.693430656934304,23.62043795620438,17.204379562043794,426.4080654341832
value/area,0.02835928233602249,0.05616331334789843,0.021553003587659075,0.032711392245786945,74.348725276337
value and self/area,0.10869771576241022,0.2728355550599737,0.09493207457208377,0.13992048589539638,479.3837678993322
value/component,0.022735074185777852,0.02347810381138654,0.019161844203653463,0.024099063865055646,4.582607071539562
value and self/component,0.0867432976755385,0.11253805916201147,0.0855887069602537,0.10369552331787524,59.01546192203274
