Volume_pre,Volume_post,Distance,Nearest Label,isFusion,Frame,Label
4.497897117552999,4.815321049631546,39.190230756787884,2.0,1.0,0.0,2.0
0.0190454359247127,0.0476135898117819,24.62214450449026,10.0,1.0,0.0,2.0
0.0190454359247127,0.0253939145662836,5.315072906367325,14.0,1.0,0.0,2.0
0.0190454359247127,0.0,8.139410298049853,15.0,1.0,0.0,2.0
0.0253939145662836,0.0380908718494255,0.1767766952966369,16.0,1.0,0.0,2.0
0.0444393504909964,0.0253939145662836,12.257650672131263,5.0,1.0,0.0,2.0
0.0476135898117819,0.03491663252864,10.444562647085267,17.0,1.0,0.0,2.0
0.41265111170211,0.4856586160801756,31.46781017044365,9.0,1.0,0.0,2.0
0.618976667553165,0.4697874194762482,15.753219305103586,1.0,1.0,0.0,2.0
0.7649916763092963,0.8221279840834346,18.87713903995271,6.0,1.0,0.0,2.0
1.1490746341243372,1.0125823433305623,12.632477983961108,3.0,1.0,0.0,2.0
4.815321049631546,5.069260195294382,1.8921540406585142,2.0,1.0,1.0,2.0
0.0222196752454982,0.0253939145662836,12.165525060596439,12.0,1.0,1.0,2.0
0.0253939145662836,0.0857044616612074,8.171979564340576,5.0,1.0,1.0,2.0
0.0253939145662836,0.0,4.978076937934969,14.0,1.0,1.0,2.0
0.03491663252864,0.0,8.172722216602754,17.0,1.0,1.0,2.0
0.0380908718494255,0.0,3.3541019662496847,16.0,1.0,1.0,2.0
0.0476135898117819,0.0,13.862339068297404,10.0,1.0,1.0,2.0
0.4697874194762482,0.5967569923076668,17.491948585166913,1.0,1.0,1.0,2.0
0.4856586160801756,0.4031283937397536,26.54677650197835,9.0,1.0,1.0,2.0
0.8221279840834346,0.7840371122340091,19.959385798136612,6.0,1.0,1.0,2.0
1.0125823433305623,1.031627779255275,10.762445794646746,3.0,1.0,1.0,2.0
5.069260195294382,5.031169323444956,3.61687870148711,2.0,1.0,2.0,2.0
0.0222196752454982,0.0,4.123105625617661,15.0,1.0,2.0,2.0
0.0253939145662836,0.0,21.054245415117588,12.0,1.0,2.0,2.0
0.0857044616612074,0.0317423932078546,9.92053474376226,5.0,1.0,2.0,2.0
0.1015756582651347,0.206325555851055,19.483789558388125,13.0,1.0,2.0,2.0
0.4031283937397536,0.36186328256954253,28.901550937610494,9.0,1.0,2.0,2.0
0.5967569923076668,0.6411963427986632,11.629703349613008,1.0,1.0,2.0,2.0
0.7840371122340091,0.8030825481587218,21.36682549237401,6.0,1.0,2.0,2.0
1.031627779255275,1.3649229079377483,10.446445108315649,3.0,1.0,2.0,2.0
5.031169323444956,5.345419016202717,7.316051384433611,2.0,1.0,3.0,2.0
0.0317423932078546,0.0,21.523243250030884,5.0,1.0,3.0,2.0
0.041265111170211,0.0,6.575010968110188,14.0,1.0,3.0,2.0
0.0920529403027783,0.0,4.08733434176885,16.0,1.0,3.0,2.0
0.36186328256954253,0.0317423932078546,9.023973557443085,9.0,1.0,3.0,2.0
0.6411963427986632,0.5935827529868813,19.793955056995358,1.0,1.0,3.0,2.0
0.8030825481587218,0.771340154950867,19.68999418215139,6.0,1.0,3.0,2.0
1.3649229079377483,0.9268778816693548,8.347549441946652,3.0,1.0,3.0,2.0
5.345419016202717,4.167776228191312,1.118033988749895,2.0,1.0,4.0,2.0
0.0317423932078546,1.574422703109589,12.617844506887856,9.0,1.0,4.0,2.0
0.5935827529868813,0.4697874194762482,18.163448281681138,1.0,1.0,4.0,2.0
0.771340154950867,0.4666131801554629,15.954035539636985,6.0,1.0,4.0,2.0
0.9268778816693548,1.0697186511047005,14.414826587866589,3.0,1.0,4.0,2.0
2.352111336702027,2.129914584247045,44.66944029251207,8.0,1.0,4.0,2.0
4.167776228191312,4.355056348117653,1.0,2.0,1.0,5.0,2.0
0.041265111170211,0.0,5.769230769230778,14.0,1.0,5.0,2.0
0.0888787009819928,0.0,21.400934559032695,11.0,1.0,5.0,2.0
0.4666131801554629,0.5840600350245249,8.215575031558751,6.0,1.0,5.0,2.0
0.4697874194762482,0.4126511117021098,5.939802185258361,1.0,1.0,5.0,2.0
1.0697186511047005,1.0094081040097769,15.277995664061592,3.0,1.0,5.0,2.0
1.574422703109589,1.6506044468084402,2.1489649283645,9.0,1.0,5.0,2.0
2.129914584247045,2.0886494730768335,21.002233955744405,8.0,1.0,5.0,2.0
4.355056348117653,5.5168279395251325,0.9938079899999125,2.0,1.0,6.0,2.0
0.4126511117021098,0.4158253510228955,8.0156097709407,1.0,1.0,6.0,2.0
0.5840600350245249,0.8157795054418635,5.0,6.0,1.0,6.0,2.0
1.0094081040097769,1.0411504972176313,14.142135623730951,3.0,1.0,6.0,2.0
1.6506044468084402,0.0698332650572801,19.649484019236304,9.0,1.0,6.0,2.0
2.0886494730768335,2.174353934738041,21.912955697247405,8.0,1.0,6.0,2.0
5.5168279395251325,5.577138486620055,2.102379604162854,2.0,1.0,7.0,2.0
0.0603105470949236,0.0,9.012846662330228,13.0,1.0,7.0,2.0
0.0698332650572801,0.0253939145662836,13.532368602724357,9.0,1.0,7.0,2.0
0.4158253510228955,0.21267403449262567,17.808211398598658,1.0,1.0,7.0,2.0
0.8157795054418635,0.4824843767593901,15.538649550224108,6.0,1.0,7.0,2.0
1.0411504972176313,1.0252793006137042,16.003350724693924,3.0,1.0,7.0,2.0
5.577138486620055,6.075494059983374,2.3992452044383534,2.0,1.0,8.0,2.0
0.0253939145662836,0.0,13.946325680981353,9.0,1.0,8.0,2.0
0.21267403449262567,0.2317194704173387,11.631046814453118,1.0,1.0,8.0,2.0
