label_num,area,raw_label
476,384.65309466950623,476
299,377.04036808181536,439
298,454.0857517381441,485
284,478.60714743015336,531
276,425.5475907611723,519
268,362.5800130559503,471
249,323.7130270605034,430
245,481.2467360459859,529
234,342.95524552084765,462
231,411.58454953249304,482
230,397.43023376643464,469
232,347.6605991403752,462
219,369.54240621655197,469
199,364.41624861479033,461
209,314.2640649139725,447
216,370.4605239959719,518
194,328.7626748473134,442
201,440.084455601989,523
192,379.1443879929862,469
181,422.6019628855331,455
