combination_threshold,area_threshold,num_neighbor,tpr,fpr,auc,precesion,recall,f1_score
5,0.0_,3,1.0,1.0,-0.8111060794746972,0.6237113402061856,1.0,0.7682539682539683
5,0.25,3,0.8264462809917356,0.3561643835616438,-0.8111060794746972,0.7936507936507936,0.8264462809917356,0.8097165991902834
5,0.5_,3,0.6363636363636364,0.1232876712328767,-0.8111060794746972,0.8953488372093024,0.6363636363636364,0.7439613526570048
5,0.75,3,0.49586776859504134,0.0547945205479452,-0.8111060794746972,0.9375,0.49586776859504134,0.6486486486486486
5,1.0_,3,0.3884297520661157,0.0410958904109589,-0.8111060794746972,0.94,0.3884297520661157,0.5497076023391813
5,1.25,3,0.2975206611570248,0.0410958904109589,-0.8111060794746972,0.9230769230769231,0.2975206611570248,0.44999999999999996
5,1.5_,3,0.2809917355371901,0.0273972602739726,-0.8111060794746972,0.9444444444444444,0.2809917355371901,0.43312101910828027
5,1.75,3,0.23140495867768596,0.0273972602739726,-0.8111060794746972,0.9333333333333333,0.23140495867768596,0.3708609271523179
5,2.0_,3,0.2066115702479339,0.0273972602739726,-0.8111060794746972,0.9259259259259259,0.2066115702479339,0.33783783783783783
5,2.25,3,0.1652892561983471,0.0136986301369863,-0.8111060794746972,0.9523809523809523,0.1652892561983471,0.2816901408450704
5,2.5_,3,0.12396694214876033,0.0136986301369863,-0.8111060794746972,0.9375,0.12396694214876033,0.21897810218978103
5,2.75,3,0.12396694214876033,0.0136986301369863,-0.8111060794746972,0.9375,0.12396694214876033,0.21897810218978103
5,3.0_,3,0.09090909090909091,0.0,-0.8111060794746972,1.0,0.09090909090909091,0.16666666666666669
5,3.25,3,0.05785123966942149,0.0,-0.8111060794746972,1.0,0.05785123966942149,0.109375
5,3.5_,3,0.05785123966942149,0.0,-0.8111060794746972,1.0,0.05785123966942149,0.109375
5,3.75,3,0.024793388429752067,0.0,-0.8111060794746972,1.0,0.024793388429752067,0.048387096774193554
5,4.0_,3,0.024793388429752067,0.0,-0.8111060794746972,1.0,0.024793388429752067,0.048387096774193554
5,4.25,3,0.024793388429752067,0.0,-0.8111060794746972,1.0,0.024793388429752067,0.048387096774193554
5,4.5_,3,0.008264462809917356,0.0,-0.8111060794746972,1.0,0.008264462809917356,0.01639344262295082
5,4.75,3,0.008264462809917356,0.0,-0.8111060794746972,1.0,0.008264462809917356,0.01639344262295082
5,5.0_,3,0.0,0.0,-0.8111060794746972,nan,0.0,nan
