Volume_pre,Volume_post,Significance,label,Frame
4.332836672872155,4.047155134001463,1.0,1.0,0.0
4.047155134001463,2.812376038215919,1.0,1.0,1.0
2.812376038215919,4.74231354525348,1.0,1.0,2.0
4.74231354525348,3.034572790670901,1.0,1.0,3.0
3.034572790670901,2.840944192102988,0.0,1.0,4.0
2.840944192102988,2.8631638673484865,0.0,1.0,5.0
2.8631638673484865,2.8695123459900573,0.0,1.0,6.0
2.8695123459900573,0.5396206845335285,1.0,1.0,7.0
3.8154356635841244,4.0788975272093175,1.0,1.0,9.0
4.0788975272093175,2.7742851663664934,1.0,1.0,10.0
2.7742851663664934,2.37115677262674,1.0,1.0,11.0
2.37115677262674,2.466383952250304,0.0,1.0,12.0
2.466383952250304,2.8949062605563407,1.0,1.0,13.0
2.8949062605563407,3.0821863804826832,0.0,1.0,14.0
3.0821863804826832,3.2186786712764577,0.0,1.0,15.0
3.2186786712764577,3.802738706300983,1.0,1.0,16.0
3.802738706300983,3.7392539198852734,0.0,1.0,17.0
3.7392539198852734,3.351996722749447,1.0,1.0,18.0
3.351996722749447,3.098057577086611,1.0,1.0,19.0
3.098057577086611,6.132630367757511,1.0,1.0,20.0
6.132630367757511,3.596413150449928,1.0,1.0,21.0
3.596413150449928,3.6472009795824953,0.0,1.0,22.0
3.6472009795824953,2.7679366877249225,1.0,1.0,23.0
2.7679366877249225,2.3203689434941723,1.0,1.0,24.0
2.3203689434941723,3.7678220737723427,1.0,1.0,25.0
3.7678220737723427,2.4854293881750165,1.0,1.0,26.0
2.4854293881750165,2.5711338498362237,0.0,1.0,27.0
2.5711338498362237,2.6663610294597877,0.0,1.0,28.0
2.6663610294597877,2.4282930804008784,0.0,1.0,29.0
2.4282930804008784,3.018701594066974,1.0,1.0,30.0
3.018701594066974,4.16142774954974,1.0,1.0,31.0
4.16142774954974,3.244072585842742,1.0,1.0,32.0
3.244072585842742,2.74889125180021,1.0,1.0,33.0
2.74889125180021,3.0409212693124723,1.0,1.0,34.0
3.0409212693124723,4.2280867752862346,1.0,1.0,35.0
4.2280867752862346,3.066315183878756,1.0,1.0,36.0
3.066315183878756,4.383624502004722,1.0,1.0,37.0
4.383624502004722,5.018472366161815,1.0,1.0,38.0
5.018472366161815,2.5235202600244424,1.0,1.0,39.0
2.5235202600244424,2.6219216789687914,0.0,1.0,40.0
2.6219216789687914,3.361519440711804,1.0,1.0,41.0
