label_num,area,raw_label
197,175.2941922510563,197
102,179.21755205154716,194
88,181.06495933624433,185
81,177.56059912609717,199
76,179.69686218898573,190
70,179.02392345297923,185
49,114.68209242065794,151
60,182.67747291120332,191
51,179.78256665064697,193
53,183.96938831476302,187
53,181.28080761005768,223
61,183.04568467241438,212
58,180.3412327711052,217
63,177.2495236726602,215
59,182.79174552675158,216
58,169.91703084164578,218
56,176.4496153638222,206
55,186.22309823252067,232
51,180.48407354054055,204
54,179.99841492446038,213
51,175.0846924558845,199
51,180.4078917968417,197
54,183.09012402290546,201
50,185.96598484753704,208
52,185.06450088043397,214
49,183.3345404506059,196
40,119.92276153927475,152
42,185.7310911377989,180
41,121.93205502933193,151
43,185.88028038587584,196
39,178.97948410248824,193
42,118.24676317790002,148
36,118.39595242597693,153
35,115.78355346497051,153
40,181.3696863110397,178
39,183.363108604493,199
36,187.82291485019653,190
37,183.83924450261082,200
34,112.85055633256474,142
35,115.13600864353026,170
35,116.81835548354655,162
39,179.9063619841576,176
38,111.79036039942238,158
36,175.6751009695506,211
37,116.634249602941,166
35,114.04089607785926,147
36,109.72075636227028,146
32,110.8031719706581,149
38,110.52701314974976,140
37,178.2779772125947,203
40,175.25610137920688,193
37,110.2794224827285,141
35,108.11459126595282,144
35,112.09191313489703,132
38,179.57624109479593,217
32,110.90157338960246,140
34,113.07275308501971,144
32,114.02502488125535,172
32,109.46364297728664,138
35,108.24790931742584,141
30,108.45106063395608,157
29,111.45071679209833,134
30,111.57768636492975,158
31,109.46999145592821,142
31,114.16469141136993,140
29,113.10449547822759,144
31,110.65398272258119,145
34,109.78424114868596,162
36,178.21131818685814,217
32,109.21605231026538,156
34,110.86665675707383,146
33,183.23931327098234,218
27,114.78049383960229,163
29,112.52678392184461,167
32,111.09837622749114,168
30,104.27058744848162,138
26,105.27364707384983,142
28,104.73402638931631,136
29,105.09588967188586,136
26,105.99737363898895,124
24,102.63902843759791,141
25,102.12797590695143,140
30,102.58824060846533,168
23,101.34711303403822,140
19,102.73108137790068,149
20,103.79445155036382,140
22,100.55672744316263,142
24,154.03631151975608,204
23,101.89943067585489,135
22,173.01508841873238,245
23,111.53007277511797,170
25,110.64446000461885,148
22,110.92696730416873,164
24,109.79058962732755,145
23,112.32045836599355,165
24,173.30711843624465,235
24,178.1414849218009,232
23,107.98762169312141,155
23,171.70412757924797,243
25,106.73697140073193,165
23,112.89499568305573,169
26,177.43362955326575,233
29,112.33315532327669,164
25,112.54265511844855,167
25,175.2561013792069,197
27,109.36524155834229,194
30,109.95882431132918,188
27,108.86371174565818,188
27,107.29881176051094,183
30,177.43362955326575,231
27,175.9576082691005,247
26,178.78902974324112,232
27,105.8005708011002,151
25,109.59061255011805,183
22,174.00862532613823,222
27,109.73027908023263,167
22,115.17092527605891,159
26,110.2603770468038,201
22,114.05359303514243,188
24,109.64140037925063,195
23,172.3231042468011,272
23,111.33644417655006,195
30,170.2185835771204,273
24,112.11413281014251,182
22,107.43212981198394,166
25,102.96597508763881,197
24,165.6508531945101,246
26,169.83450061930535,233
27,167.90456311226777,243
26,165.41913372409277,234
22,96.9825339679582,179
23,163.9494609185691,274
22,162.30837918972298,246
24,98.59187330359643,196
24,102.6802935487681,197
23,104.59753409852252,198
26,169.7487961576441,274
23,102.50253614680412,188
28,170.7835981762202,278
