label_num,area,raw_label
138,112.70136708448783,138
90,111.8316255105926,129
75,114.74557720707367,134
82,115.07252385711456,135
62,114.66622122405401,109
61,116.89771146656616,126
60,111.87923910040438,144
67,113.71077518849759,146
60,112.8346851359608,148
60,113.83139628268744,135
58,113.47905571808026,128
56,112.99339710200007,130
63,117.17704452679533,137
56,116.59933297041236,107
48,115.02808450662359,119
55,114.12660053952048,133
52,113.36160886321116,124
47,111.32692145858769,129
48,112.01255715187735,126
48,111.36818656975791,131
49,110.91427034688559,129
46,112.58709446893954,120
40,112.66010197331758,103
44,107.38451622217217,120
41,113.98693400940593,96
37,115.021736027982,105
39,113.77743421423409,121
40,114.87889525854665,118
44,116.65329503886569,122
46,119.46249683776085,133
44,114.04089607785927,137
46,118.04678610069054,146
41,119.7577010945939,144
40,117.58017292053508,124
36,115.39312202851389,117
40,114.98681939545334,117
40,113.10449547822756,128
41,117.5325593307233,123
37,114.70748633522425,109
36,113.23781352970057,122
41,110.72699022695926,144
39,113.21241961513428,120
41,113.5552374617791,119
34,112.04429954508521,105
37,112.08556465625544,122
38,115.50422040474137,114
34,115.69150052466772,99
36,109.5144308064192,137
39,109.95247583268761,134
34,109.68266549042082,124
36,110.11753627736843,135
36,108.47962878784315,139
34,114.93603156632078,112
38,111.33644417655009,140
34,118.27850557110786,109
36,114.2789640269182,121
39,112.47599609271208,119
34,115.30741756685265,105
32,118.13883904099332,108
32,116.46918915826015,111
37,115.96448510625525,108
32,116.75804493645163,111
31,113.39335125641902,117
34,115.97718206353841,138
34,114.70748633522422,99
37,117.99599827155795,122
36,117.47859726226994,144
35,113.75521453898858,98
32,111.80305735670555,113
30,116.12954555093611,95
32,115.3677281139476,112
31,121.16071487438106,112
35,119.83388283829272,118
32,121.82095665310446,126
33,118.48800536627971,120
35,121.28451020789171,140
40,122.49706962843173,153
34,120.44333678788355,112
34,123.9000834082189,103
36,120.1036931805595,120
37,121.79873697785897,138
35,120.78932887384916,118
36,118.53879319541228,129
37,117.06594615056783,124
34,119.25617128190979,145
34,119.88784490674612,162
34,121.07501041271985,145
29,118.46895993035498,134
30,121.42417673800624,122
29,120.2814505825235,103
33,122.69387246632043,118
32,119.66247391497033,106
35,121.90666111476565,138
33,120.10686741988029,127
31,119.58629217127148,137
29,121.99553981574768,113
31,120.46555646312905,120
29,116.86279483403754,135
27,118.79590658039591,120
33,119.21808041006037,152
32,120.86233637822724,140
33,117.1611733301914,128
32,117.98647555359558,115
30,115.93591695236822,118
33,116.66916623546965,143
31,116.0851062004451,119
32,114.50750925801475,133
33,114.39958512110803,119
36,115.12013744692635,161
32,115.2598039770409,114
35,116.95802201366112,161
31,114.79319079688543,155
38,190.77178317920624,249
36,191.66691866766774,254
32,114.2757897875974,165
34,188.69583066341255,274
34,114.06311575310477,172
36,186.1342195315387,261
34,183.97573679340456,271
30,114.10755510359579,103
41,184.54075139250438,265
36,110.41274053420149,135
38,181.56648914892838,266
40,184.21697898178428,299
35,115.78672770429127,122
40,186.64527206218514,292
32,110.02548333706567,121
28,112.2664962975402,123
28,111.07615655224566,130
36,186.84842337871544,242
35,188.5498156546564,245
31,117.62778651034682,134
32,118.82764897360373,149
37,188.11177062838803,243
37,186.97221871222604,244
27,121.57654022540397,90
27,117.48811998023228,151
33,189.81316290432903,235
34,182.71873802237354,233
32,182.20451125240626,221
34,187.9149677904993,226
