label_num,area,raw_label
166,160.77204735846286,166
82,164.8001570565396,178
37,106.07038114336699,98
63,166.68882945240694,197
36,106.44494138321967,71
39,95.8683759663625,123
29,102.5311043006912,107
26,107.24802393137838,88
46,168.30134302736596,200
29,112.06969345965152,85
28,98.331585679292,102
32,103.29927021632129,122
34,102.92788421578938,106
34,106.1116462545372,162
27,95.94138347074056,95
33,99.91870533968476,133
29,99.7568191343247,123
29,102.26129395842445,116
28,108.98433283984804,98
31,98.81089581673064,118
28,100.68052277667327,117
37,161.6163950177918,197
30,98.61726721816271,132
32,101.95339274430825,157
29,94.93832384537237,133
27,96.985708207279,147
35,162.34329582225166,243
31,101.15983291411186,160
32,97.769745319513,176
30,99.37273617650965,178
29,95.23352810220541,138
31,100.70274245191877,159
33,161.9782583003613,224
27,99.47113759545401,150
33,99.95997045085497,182
30,102.38826353125586,161
37,156.7661573356316,248
27,98.15700251664882,143
36,158.98177638153982,239
33,157.92792892703906,216
27,87.2884070822794,139
27,90.86577479680462,126
39,147.26883328784146,242
35,156.15352914672,280
34,148.17031725494456,225
27,84.03163753915354,142
27,91.46888026775386,170
28,145.91025885854532,235
34,144.00254102675325,242
25,85.96792352483266,156
31,132.613370343775,235
29,134.6893228595687,231
26,82.45086635740236,144
24,82.67306310985734,144
24,80.27333818334354,140
26,81.612867176715,155
33,126.08078582159852,234
32,128.84554827000267,200
32,82.32072254525015,156
35,132.0229618301089,251
23,75.1310704836711,143
