label_num,area,raw_label
122,106.89568336677122,122
60,171.53271865592558,166
51,158.53103439798826,171
51,107.63845536783501,133
51,102.1184531889891,141
41,105.75613145060922,141
42,103.75953491783517,138
46,106.80363042646843,135
41,106.43224442593653,136
33,103.73414100326887,133
37,106.19100223755682,121
34,106.02594179287601,105
40,176.82417560367495,183
38,107.57497058141928,144
39,110.44130868808855,136
45,177.79231859651443,204
44,166.49837509315978,183
37,110.17784682446336,149
44,168.89175154103205,220
42,170.41221217568827,189
36,175.00533647286483,169
31,107.36864502556824,129
39,109.9302561574421,170
45,176.61785004782385,203
36,178.18592427229189,177
38,177.67804598096615,185
36,171.3644839719239,174
37,109.07638578015083,149
38,156.51221818996873,196
37,167.7648965821532,185
33,105.31173794569926,146
40,171.80252899819232,198
38,157.32799769541057,197
36,169.44089494352792,206
37,175.13865452433782,180
37,170.7328103470876,191
40,169.24409210563923,209
43,170.2154093377995,208
39,162.7654696519161,206
46,161.8893795993793,229
44,156.82011940408495,211
40,166.43171606742328,169
39,171.39622636513178,169
32,101.66453696611677,132
33,158.8008447402551,179
40,166.92689740146582,189
38,167.368116667055,198
36,161.4513345731109,197
34,164.39385442347904,198
40,160.19433580207988,176
39,162.40995484798813,190
34,166.02858767368355,172
35,169.04411502842973,188
39,168.12358562540197,210
33,160.93393356382285,173
38,168.37435053174403,188
35,108.88275718158292,121
32,103.4452852250774,153
32,172.13582412687472,153
36,167.49191200056563,195
37,169.02189535318425,182
