combination_threshold,area_threshold,num_neighbor,tpr,fpr,auc,precesion,recall,f1_score
0,0.00,3,0.7901234567901234,0.391025641025641,-0.22602089268755934,0.758893280632411,0.7901234567901234,0.7741935483870966
0,0.25,3,0.7242798353909465,0.27564102564102566,-0.22602089268755934,0.8036529680365296,0.7242798353909465,0.7619047619047619
0,0.50,3,0.6419753086419753,0.1987179487179487,-0.22602089268755934,0.8342245989304813,0.6419753086419753,0.7255813953488373
0,0.75,3,0.5802469135802469,0.16666666666666666,-0.22602089268755934,0.844311377245509,0.5802469135802469,0.6878048780487804
0,1.00,3,0.5061728395061729,0.10256410256410256,-0.22602089268755934,0.8848920863309353,0.5061728395061729,0.6439790575916231
0,1.25,3,0.4403292181069959,0.08974358974358974,-0.22602089268755934,0.8842975206611571,0.4403292181069959,0.5879120879120879
0,1.50,3,0.38271604938271603,0.07051282051282051,-0.22602089268755934,0.8942307692307693,0.38271604938271603,0.5360230547550432
0,1.75,3,0.3497942386831276,0.05128205128205128,-0.22602089268755934,0.9139784946236559,0.3497942386831276,0.5059523809523809
0,2.00,3,0.3045267489711934,0.038461538461538464,-0.22602089268755934,0.925,0.3045267489711934,0.45820433436532515
0,2.25,3,0.2880658436213992,0.03205128205128205,-0.22602089268755934,0.9333333333333333,0.2880658436213992,0.44025157232704404
0,2.50,3,0.22633744855967078,0.03205128205128205,-0.22602089268755934,0.9166666666666666,0.22633744855967078,0.363036303630363
0,2.75,3,0.205761316872428,0.019230769230769232,-0.22602089268755934,0.9433962264150944,0.205761316872428,0.33783783783783783
0,3.00,3,0.16872427983539096,0.019230769230769232,-0.22602089268755934,0.9318181818181818,0.16872427983539096,0.28571428571428575
0,3.25,3,0.15637860082304528,0.01282051282051282,-0.22602089268755934,0.95,0.15637860082304528,0.26855123674911663
0,3.50,3,0.13991769547325103,0.01282051282051282,-0.22602089268755934,0.9444444444444444,0.13991769547325103,0.24372759856630824
0,3.75,3,0.12757201646090535,0.01282051282051282,-0.22602089268755934,0.9393939393939394,0.12757201646090535,0.2246376811594203
0,4.00,3,0.1111111111111111,0.00641025641025641,-0.22602089268755934,0.9642857142857143,0.1111111111111111,0.1992619926199262
0,4.25,3,0.09876543209876543,0.00641025641025641,-0.22602089268755934,0.96,0.09876543209876543,0.1791044776119403
0,4.50,3,0.08641975308641975,0.00641025641025641,-0.22602089268755934,0.9545454545454546,0.08641975308641975,0.15849056603773584
0,4.75,3,0.07818930041152264,0.00641025641025641,-0.22602089268755934,0.95,0.07818930041152264,0.14448669201520914
0,5.00,3,0.07407407407407407,0.00641025641025641,-0.22602089268755934,0.9473684210526315,0.07407407407407407,0.13740458015267176
