Volume_pre,Volume_post,Distance,Nearest_Label,y_corr,x_corr,Volume_diff,isFusion,Frame,Label
0.0,0.0,0.0,0.0,105.89473684210526,227.05263157894737,-0.5625,0.0,9.0,1.0
0.0,0.0,0.0,0.0,129.61963190184048,247.90797546012269,-0.5625,0.0,9.0,1.0
0.0,0.0,0.0,0.0,105.89473684210526,227.05263157894737,0.4949999999999992,1.0,9.0,1.0
0.0,0.0,0.0,0.0,129.61963190184048,247.90797546012269,0.4949999999999992,1.0,9.0,1.0
0.0,0.0,0.0,0.0,105.51948051948052,227.11688311688312,-0.40499999999999936,0.0,11.0,1.0
0.0,0.0,0.0,0.0,129.69300911854103,248.01215805471125,-0.40499999999999936,0.0,11.0,1.0
4.005,3.915,6.660157926768004,4.0,166.87078651685394,168.81460674157304,-0.29249999999999865,0.0,14.0,1.0
11.97,11.9025,6.660157926768004,3.0,265.9718045112782,179.85902255639098,-0.29249999999999865,0.0,14.0,1.0
0.0,0.0,0.0,0.0,112.77931034482759,223.4896551724138,-0.5850000000000009,0.0,18.0,1.0
0.0,0.0,0.0,0.0,132.7,256.48,-0.5850000000000009,0.0,18.0,1.0
1.665,1.305,42.81334163811816,1.0,106.17567567567568,227.1081081081081,-0.2699999999999996,0.0,25.0,1.0
1.755,1.1025,42.81334163811816,1.0,119.85897435897436,220.07692307692307,-0.2699999999999996,0.0,25.0,1.0
0.0,0.0,0.0,0.0,106.17567567567568,227.1081081081081,0.6524999999999999,1.0,25.0,1.0
0.0,0.0,0.0,0.0,119.85897435897436,220.07692307692307,0.6524999999999999,1.0,25.0,1.0
0.0,0.0,0.0,0.0,125.38571428571429,266.8285714285714,0.6524999999999999,1.0,25.0,1.0
0.0,0.0,0.0,0.0,136.75483870967741,253.73548387096776,0.6524999999999999,1.0,25.0,1.0
0.0,0.0,0.0,0.0,105.72,226.90666666666667,-0.40499999999999936,0.0,27.0,1.0
0.0,0.0,0.0,0.0,119.975,220.4125,-0.40499999999999936,0.0,27.0,1.0
